# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2104980.2500122939,0.0238
2,1506370.3252980520,0.0512
3,1393631.4253158155,0.1243
4,1263249.4746806759,0.1351
5,1144304.1349605741,0.1478
6,997550.2335732629,0.1623
7,871079.1292594367,0.1777
8,655908.6843284826,0.1931
9,458397.9584254700,0.2095
10,397107.9280527777,0.2272
11,307201.2586708267,0.2390
12,279436.6649226068,0.2508
13,275531.3110691230,0.2597
14,260616.7861211548,0.2686
15,259206.7668241262,0.2776
16,248026.1431928999,0.2865
17,245867.4147260048,0.2982
18,245594.1705743014,0.3072
19,244372.1097524685,0.3161
20,243819.3583867924,0.3611
21,243382.0030627026,0.3830
