# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322371,0.0358
2,3723398.1420859941,0.0810
3,2649101.3772307690,0.1404
4,2222822.2595936013,0.1741
5,2043410.2440906342,0.2237
6,2002353.4205736383,0.2924
7,1975286.3977640595,0.3544
8,1974986.3041730626,0.4422
9,1950355.2443179248,0.4946
10,1939920.3984229553,0.5480
11,1929405.1512147160,0.6015
12,1928133.6630126454,0.6635
13,1927250.5746104976,0.7487
14,1927144.7932186811,0.8137
15,1916962.5114065211,0.8785
16,1906178.8267152424,0.9424
17,1905760.9296496967,0.9948
18,1903202.0607332704,1.0857
19,1899552.8230474177,1.1885
20,1896586.0578185846,1.2476
21,1892786.3725199527,1.3096
22,1850664.7632745237,1.3548
23,1830476.0571247872,1.4001
24,1825505.6144814370,1.4482
25,1819406.5473761077,1.4934
26,1819069.5463781464,1.5419
27,1818922.2513305435,1.5905
28,1818854.9094158635,1.6391
29,1817996.6208106223,1.6858
30,1817299.5836669495,1.7502
31,1817182.1358476190,1.7968
32,1817113.1667067735,1.8434
33,1817055.3057596236,1.8901
34,1816989.1878007457,1.9366
35,1816923.1687800183,1.9833
36,1816856.1897106285,2.0300
37,1816787.6754918653,2.0766
38,1816717.3654244724,2.1233
39,1816645.0779599934,2.1700
40,1816570.7608245225,2.2166
41,1816494.4181129495,2.2632
42,1816337.6794797629,2.3146
43,1816234.0027104621,2.3483
44,1816127.4657842712,2.3820
45,1816017.5798877985,2.4157
46,1815904.2896603281,2.4495
47,1815787.5418669088,2.4832
48,1815667.3723930498,2.5170
49,1815543.8316420035,2.5507
50,1815416.9939017128,2.5844
51,1815287.1605941169,2.6181
52,1815153.2868115741,2.6518
53,1815017.0000294922,2.6855
54,1814876.1987057752,2.7193
55,1814733.6105547312,2.7530
56,1814587.1812574994,2.7867
57,1814438.8387795018,2.8204
58,1814287.2381761628,2.8541
59,1814133.7499539792,2.8878
60,1813977.5554351620,2.9215
61,1813819.5563481057,2.9553
62,1813659.3305572399,2.9890
63,1813065.2215406445,3.0370
64,1812189.2040654577,3.0851
65,1810472.1210310385,3.1332
66,1807241.8063767806,3.1814
67,1803629.0151355022,3.2267
68,1803228.1872548778,3.2743
69,1802845.2368451166,3.3219
70,1802436.5624142734,3.3696
71,1801966.9700734159,3.4171
72,1801454.3499912149,3.4647
73,1801259.9984685280,3.5114
74,1799828.3322216852,3.5451
75,1798224.0550588022,3.5789
76,1796375.2445107126,3.6126
77,1792659.2212038001,3.6664
78,1787437.3528424008,3.7201
79,1785166.6512945076,3.7667
80,1777608.6534827619,3.8870
81,1769108.2880079013,3.9710
82,1763425.3128964154,4.0549
83,1759874.9873015538,4.1131
84,1756431.2193521832,4.1468
85,1754336.9921677592,4.2089
86,1752188.5102451218,4.2623
87,1750089.9982252386,4.3089
88,1745046.4610343282,4.3996
89,1743601.6632865295,4.4656
