# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322567,0.0396
2,3723398.1420859941,0.0889
3,2649101.3772306652,0.1519
4,2222822.2595831719,0.1857
5,2043410.2428587356,0.2352
6,2002349.3674674984,0.3040
7,1973366.4989664329,0.3661
8,1973076.8938118122,0.4185
9,1972601.0003254004,0.4710
10,1972373.7541151992,0.5245
11,1958546.2734443485,0.6154
12,1958498.8140375416,0.6689
13,1956248.7223391193,0.7224
14,1955111.9433959427,0.7758
15,1954310.9388530008,0.8283
16,1953595.0701351734,0.8799
17,1952819.3874082766,0.9313
18,1951988.8794763519,0.9829
19,1951776.9207330723,1.0738
20,1951416.5591242244,1.1264
21,1951103.6788074942,1.1788
22,1950704.8974185993,1.2313
23,1950616.9973824178,1.3223
24,1950490.8186388384,1.3757
25,1950339.4816026301,1.4292
26,1950153.9792205465,1.4826
27,1949954.7279573954,1.5360
28,1949943.6641072135,1.6269
29,1949903.7293495473,1.6804
30,1949853.2825720790,1.7338
31,1949784.5010450133,1.7872
32,1949694.7680278879,1.8407
33,1949591.8517313676,1.8942
34,1949471.0587680272,1.9477
35,1943192.5234623530,2.0119
36,1934784.9929259187,2.0683
37,1920721.8604484315,2.1237
38,1891375.7051839139,2.1848
39,1889845.5866247062,2.2911
40,1888884.5628101279,2.4359
41,1888102.7039847227,2.4922
42,1887461.1494445943,2.5428
43,1886367.3806295979,2.5924
44,1886043.2910782401,2.6439
45,1843817.5121795670,2.6777
46,1831283.7723949677,2.7691
47,1828227.5496101796,2.8229
48,1823191.8856100047,2.8969
49,1815289.6152139192,2.9882
50,1803300.5416806848,3.0911
51,1783707.3991644387,3.1970
52,1763758.7167771147,3.2972
53,1754846.6763663951,3.3366
54,1744388.2696571781,3.3733
