# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776610,0.0119
2,1506203.5600746702,0.0245
3,1127133.1806397112,0.0390
4,820037.3684094306,0.0525
5,497540.1090291921,0.0688
6,373473.4894404523,0.0859
7,312813.0364501804,0.1121
8,285659.1147215817,0.1283
9,271070.7369652316,0.1403
10,265559.8188489271,0.1532
11,262360.0518716040,0.1659
12,258725.3799681362,0.1775
13,257432.7778704209,0.1891
14,255128.0981038092,0.1980
15,253914.2790958864,0.2070
16,253204.5538844978,0.2159
17,252796.0500115204,0.2249
18,252186.4319494862,0.2338
19,251721.1003621257,0.2427
20,251342.4002176384,0.2517
21,251032.7876841077,0.2607
22,250775.3714307524,0.2696
23,250558.2494701055,0.2785
24,250372.8115608743,0.2875
25,250212.6738399511,0.2964
26,250072.9823343088,0.3053
27,249949.9603453922,0.3142
28,249840.7636753547,0.3232
29,249743.1726690827,0.3322
30,249358.7086226245,0.3411
31,249197.5391429758,0.3501
32,249057.5884441816,0.3590
33,248935.1490873904,0.3679
34,248826.8314762601,0.3769
35,248729.9952164239,0.3858
36,248642.5732208595,0.3948
37,248562.9362088864,0.4037
38,248419.7890852008,0.4136
39,248405.4084428534,0.4261
40,248402.0457695740,0.4389
41,248377.6202566646,0.4478
42,248354.7251782772,0.4568
43,248332.4718665347,0.4657
44,248310.8206024915,0.4747
45,248289.7352213244,0.4836
46,248269.1816159140,0.4925
47,248249.1280517401,0.5014
48,248229.5447809579,0.5104
49,248210.4039194006,0.5193
50,248175.0456566074,0.5292
51,248168.6032741843,0.5417
52,248154.8249245497,0.5559
53,248139.8842974770,0.5649
54,248124.1369248802,0.5738
55,248107.5559723518,0.5828
56,248090.1097474903,0.5917
57,248071.7830869468,0.6006
58,248052.5623825716,0.6095
59,248032.3155849988,0.6185
60,248009.8929922244,0.6274
61,247967.8848317730,0.6364
62,247913.2082760917,0.6453
63,247707.5496404044,0.6552
64,247683.1364036540,0.6668
65,247658.7515159638,0.6784
66,247633.7674647110,0.6900
67,247608.1304837749,0.7016
68,247581.9064871530,0.7132
69,247555.1811814015,0.7248
70,247528.0431593214,0.7364
71,247500.5899976211,0.7479
72,247472.9347449352,0.7596
73,247445.1750145540,0.7711
74,247417.3860220271,0.7827
75,247389.6322974889,0.7943
76,247361.9717621961,0.8059
77,247334.4538320815,0.8175
78,247307.1233751850,0.8291
79,247280.0170087329,0.8407
80,247253.1652024358,0.8523
81,246742.7346480302,0.8622
82,246669.9812054147,0.8756
83,246661.2094121808,0.8874
84,246653.2373912015,0.8992
85,246537.9678582418,0.9082
86,246403.4516165910,0.9402
87,246303.1365630767,0.9538
88,246299.9827058758,0.9658
89,246296.9061251611,0.9778
90,246293.8837770184,0.9898
91,246290.9051279939,1.0018
92,246287.9525934169,1.0138
93,246285.0142814330,1.0257
94,246282.0886514234,1.0377
95,246279.1708456105,1.0498
96,246276.2577882819,1.0618
97,246273.3457873627,1.0738
98,246270.4341297304,1.0858
99,246267.5210868745,1.0978
100,246264.6079296884,1.1098
101,246261.6910431781,1.1218
102,246258.7709129979,1.1339
103,246255.8468217917,1.1459
104,246252.9152061356,1.1579
105,246249.9795944774,1.1699
106,246247.0374156837,1.1819
107,246167.4666467701,1.1999
108,246094.6648434631,1.2218
109,246091.1472961270,1.2334
110,246089.9153806433,1.2449
111,246071.4510793209,1.2539
112,246063.7670430342,1.2894
113,246060.2479497423,1.3168
114,246059.5393378217,1.3284
115,246059.0137852463,1.3400
116,246058.5314431110,1.3516
117,246058.0533005588,1.3632
118,246057.5667178829,1.3748
119,246057.0658408213,1.3864
120,246056.5491748925,1.3980
121,246056.0178167582,1.4096
122,246051.7689184229,1.4238
123,246050.6617024407,1.5036
124,246050.3553334020,1.5125
125,246050.1541049383,1.5215
126,246050.0242315497,1.5304
127,246048.9217372361,1.5394
128,246047.6411428655,1.5775
129,246047.5132486458,1.5865
130,246047.0996303612,1.6007
