# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776582,0.0119
2,1506203.5600746695,0.0244
3,1393491.8785865530,0.0449
4,1259832.1476725740,0.0556
5,1137706.3455045416,0.0682
6,986919.0878045328,0.0826
7,941465.1451436988,0.0979
8,744389.7883019733,0.1104
9,628868.4504727928,0.1248
10,494518.0598833095,0.1410
11,385277.6180259013,0.1572
12,313378.1997472494,0.1724
13,290721.4298199670,0.1841
14,288949.6839691683,0.1974
15,285515.7744711574,0.2102
16,281373.4349729746,0.2227
17,270567.1465796640,0.2344
18,269166.6958485011,0.2433
19,264208.2184708093,0.2521
20,263065.2692254348,0.2637
21,262312.3280978917,0.2752
22,261884.2149649696,0.2840
23,261260.7789526560,0.2929
24,260860.0553677196,0.3018
25,260520.1015344654,0.3107
26,260218.1051289125,0.3196
27,259943.7973718786,0.3285
28,259691.5084706891,0.3374
29,259458.3390593820,0.3463
30,259242.5478440867,0.3552
31,259041.9793345680,0.3641
32,258853.9109408227,0.3729
33,258675.8591602584,0.3818
34,258506.0863187835,0.3907
35,258343.0893413287,0.3996
36,258185.6174045990,0.4085
37,258032.7903886658,0.4174
38,257884.0101491193,0.4264
39,257738.8637096998,0.4353
40,256917.4960754818,0.4450
41,256905.8025747575,0.4568
42,256658.0194677236,0.4656
43,256173.8025156892,0.4764
44,256170.1588515782,0.4881
45,256016.8885312459,0.4970
46,255616.6345438063,0.5077
47,255522.3913923326,0.5247
48,255221.6636335848,0.5354
49,255217.0090186193,0.5474
50,255212.0763208452,0.5621
51,255209.0259480046,0.5847
52,255206.4513252958,0.5995
53,255204.2144398635,0.6141
54,255198.9221074257,0.6347
55,255194.3559930434,0.6462
56,255187.6647143833,0.6586
57,255186.3120913792,0.6711
58,255182.0679160970,0.6800
59,255178.8292595306,0.6889
60,255175.6071449439,0.6977
61,255172.4008593371,0.7066
62,255169.2102629631,0.7155
63,255166.0350610365,0.7243
64,255162.8749694331,0.7332
65,255159.7297176585,0.7421
66,255156.5990508139,0.7510
67,255153.4827255794,0.7599
68,255150.3805096387,0.7688
69,255147.2921824046,0.7777
70,255144.2175322894,0.7866
71,255141.1563579635,0.7955
72,255138.1084671413,0.8045
73,255135.0736736338,0.8134
74,255132.0518024737,0.8224
75,255129.0426869351,0.8313
76,255126.0461638807,0.8403
77,255123.0620761765,0.8492
78,255120.0902783160,0.8582
79,255117.1306255770,0.8671
80,255114.1829767145,0.8760
81,255111.2472041643,0.8849
82,255108.3231772138,0.8939
83,255105.4107707638,0.9028
84,255102.5098618330,0.9118
85,255099.6203333240,0.9207
86,255096.7420724112,0.9296
87,255093.8749673257,0.9386
88,255091.0189037565,0.9475
89,255088.1737729468,0.9565
90,255085.3394696146,0.9654
91,255082.5158823682,0.9744
92,255079.7029069400,0.9833
93,255076.9004381811,0.9923
94,255074.1083659967,1.0012
95,255071.3265809681,1.0101
96,255068.5549736420,1.0190
97,255065.7934327325,1.0280
98,255063.0418517207,1.0369
99,255060.3001128795,1.0458
100,255057.5680981689,1.0548
101,255054.8456839732,1.0637
102,255052.1327481238,1.0726
103,255049.4291638055,1.0816
104,255046.7347974016,1.0905
105,255044.0495266268,1.0995
106,255041.3731988409,1.1084
107,255038.7056785938,1.1173
108,255036.0468154066,1.1263
109,255033.3964553824,1.1352
110,255030.7544398720,1.1441
111,255028.1206071788,1.1531
112,255025.4947860883,1.1620
113,255022.8768011925,1.1709
114,255020.2664723292,1.1799
115,255017.6636136361,1.1888
116,255015.0680355806,1.1978
117,255012.4795369431,1.2067
118,255009.8979176100,1.2156
119,255007.3229643293,1.2245
120,255004.7544624277,1.2334
121,255004.0057653347,1.2450
122,255003.7238135973,1.2566
123,255003.4587543107,1.2682
124,255001.8769380856,1.2772
125,255001.1367218122,1.2861
126,255000.3964345341,1.2950
127,254999.6574369267,1.3040
128,254998.9192436393,1.3129
129,254998.1813731740,1.3219
130,254997.4433505322,1.3308
131,254996.7047416970,1.3397
132,254995.9650647262,1.3487
133,254995.2238811559,1.3576
134,254994.4807497348,1.3666
135,254993.7352250459,1.3755
136,254992.9868817168,1.3844
