# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322539,0.0360
2,3723398.1420859951,0.0812
3,2649101.3772306675,0.1408
4,2222822.2595835691,0.1746
5,2043410.2427924634,0.2242
6,2002349.3569187103,0.2928
7,1973449.6732320506,0.3550
8,1972934.7661964989,0.4065
9,1972238.5515718265,0.4580
10,1971548.8421560652,0.5096
11,1971002.4828156182,0.5620
12,1951757.3351375812,0.6155
13,1923324.6011101594,0.6759
14,1918980.5152670490,0.7235
15,1917261.1353535308,0.7712
16,1902586.8566573435,0.8051
17,1901352.8577653866,0.8528
18,1900838.0021550567,0.9004
19,1900307.5798555063,0.9482
20,1899728.9909362912,0.9958
21,1899098.0256376376,1.0435
22,1898410.5069435504,1.0910
23,1897665.0129234598,1.1386
24,1896862.4486314519,1.1864
25,1896005.6098756860,1.2340
26,1895098.6238092757,1.2816
27,1892276.5802725686,1.3461
28,1889768.5627926874,1.3799
29,1887408.4754145078,1.4136
30,1885173.0687616791,1.4473
31,1883029.9240359438,1.4811
32,1880933.2948354615,1.5148
33,1878934.6493290493,1.5486
34,1877675.3740783974,1.5824
35,1876195.3733092092,1.6161
36,1874437.5693328849,1.6499
37,1872424.7730851229,1.6836
38,1867045.4466758692,1.7345
39,1859178.9727414434,1.7854
40,1845930.7396093502,1.8364
41,1841861.1838656373,1.8903
42,1818836.2782525460,1.9241
43,1809654.1863217195,1.9809
44,1802578.9612127258,2.0147
45,1796308.5452717037,2.0917
46,1780174.2465645254,2.1469
47,1774055.8889030947,2.1808
48,1770086.8560980931,2.2371
49,1765935.6958547363,2.2924
50,1762635.7018123479,2.3479
51,1759277.4059315773,2.3817
52,1756626.6189993278,2.4400
53,1752039.5684049078,2.4867
54,1745947.9490960841,2.5794
55,1740760.0289378462,2.6693
