# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322502,0.0395
2,3723398.1420859885,0.0891
3,2649101.3772307066,0.1539
4,2222822.2595863650,0.1911
5,2043410.2470396275,0.2440
6,2002342.5852530126,0.3127
7,1973474.5031827677,0.3749
8,1973063.6278960463,0.4630
9,1972878.0080398149,0.5187
10,1956058.3872391700,0.5737
11,1951693.2551254034,0.6608
12,1949739.0680285343,0.7123
13,1948159.9353829497,0.7640
14,1946763.9768889123,0.8155
15,1945496.4245615047,0.8661
16,1944621.3887303965,0.9167
17,1943368.3912881315,0.9673
18,1943242.6245193256,1.0207
19,1942914.9146404774,1.1116
20,1942645.3152831998,1.1651
21,1942368.3154552653,1.2175
22,1941996.8598304284,1.2701
23,1941892.9090096846,1.3610
24,1941750.3431321043,1.4145
25,1941611.9478169275,1.4678
26,1941450.6515316521,1.5212
27,1941252.8876081726,1.5746
28,1941244.8801738671,1.6655
29,1941208.0550890835,1.7189
30,1941161.0646913773,1.7723
31,1941098.0296360527,1.8258
32,1941016.2232660549,1.8792
33,1940360.6109663108,1.9464
34,1939440.2738904958,1.9998
35,1938553.7201302329,2.0523
36,1937704.5854772190,2.1038
37,1936889.7171622766,2.1553
38,1936097.2224746326,2.2059
39,1935218.2941356294,2.2563
40,1934510.3612058484,2.3087
41,1933761.8556037429,2.3602
42,1905135.4034437712,2.3939
43,1886427.6276841217,2.4277
44,1882019.1341891526,2.4614
45,1880093.3523257438,2.4952
46,1878742.6388306567,2.5289
47,1877216.4055408393,2.5627
48,1875879.4352489812,2.5965
49,1874661.4608225317,2.6303
50,1873476.0630287619,2.6640
51,1871089.0749842059,2.7063
52,1866560.2287783972,2.7488
53,1865099.9879173983,2.7955
54,1857606.1590545021,2.8378
55,1850980.7587887419,2.9023
56,1838029.7908386122,2.9648
57,1821870.6598562796,3.0418
58,1809221.0952174638,3.1433
59,1785454.1280627279,3.2957
60,1766545.8513816306,3.3957
61,1762577.2489187748,3.4664
62,1757886.1932394071,3.5247
63,1754530.7695478036,3.5829
64,1746672.0026228311,3.6167
65,1741611.3778422899,3.6505
