# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776564,0.0120
2,1506203.5600746693,0.0247
3,1127133.1806397117,0.0391
4,820037.3684094410,0.0527
5,497540.1090291789,0.0689
6,373473.4894400841,0.0861
7,312813.0364414661,0.1122
8,285659.1433257782,0.1284
9,271070.7598150885,0.1404
10,265559.8553442126,0.1534
11,262360.0690503697,0.1661
12,258725.3831428499,0.1776
13,257433.4848050510,0.1892
14,255129.2153383263,0.1982
15,253915.9147786886,0.2071
16,253203.8095964891,0.2161
17,252795.9557710075,0.2250
18,252186.4077099845,0.2339
19,251721.0747343382,0.2429
20,251342.3728493988,0.2518
21,251032.7579894045,0.2608
22,250775.3391328724,0.2697
23,250558.2146990869,0.2787
24,250372.7739072774,0.2876
25,250212.6329970802,0.2966
26,250072.9380108733,0.3055
27,249949.9125418823,0.3145
28,249840.7130429308,0.3234
29,249743.1209769193,0.3324
30,249358.6537571204,0.3413
31,249197.4859244954,0.3502
32,249057.5377571183,0.3592
33,248935.1014495918,0.3681
34,248826.7872824687,0.3771
35,248729.9546400188,0.3860
36,248642.5364772172,0.3949
37,248562.9033167199,0.4039
38,248419.7676707639,0.4138
39,248405.3874361977,0.4263
40,248402.0467409137,0.4390
41,248377.6220247193,0.4480
42,248354.7290918645,0.4569
43,248332.4784931124,0.4659
44,248310.8305695424,0.4749
45,248289.7490251456,0.4838
46,248269.1998419403,0.4927
47,248249.1512193912,0.5017
48,248229.5733805218,0.5106
49,248210.4384338412,0.5195
50,248175.1393089040,0.5295
51,248168.7124060015,0.5420
52,248087.0032819139,0.5553
53,247822.7799801401,0.5652
54,247794.2233257705,0.5741
55,247540.4966341594,0.5831
56,247157.8336318863,0.6030
57,246963.0392463441,0.6157
58,246955.7327989958,0.6275
59,246948.4282608407,0.6393
60,246940.6015803725,0.6511
61,246931.9752776709,0.6629
62,246922.4465114636,0.6747
63,246912.0299233134,0.6865
64,246900.8152102359,0.6983
65,246888.9322668961,0.7101
66,246876.5273646497,0.7219
67,246863.7457026211,0.7337
68,246850.7210065356,0.7455
69,246837.5693285592,0.7573
70,246824.3857375729,0.7690
71,246811.1691038786,0.7808
72,246797.8998827536,0.7926
73,246784.8580658554,0.8044
74,246772.1843154449,0.8162
75,246759.9372055946,0.8280
76,246748.1287332123,0.8399
77,246611.8243519669,0.8498
78,246577.3015185538,0.8614
79,246551.3965182605,0.8782
80,246479.1474945526,0.9092
81,246465.7180994811,0.9254
82,246464.1128405105,0.9372
83,246462.4857732639,0.9490
84,246457.7955324648,0.9659
85,246434.8668831201,1.0329
86,246428.8482008948,1.0419
87,246396.0681551535,1.0508
88,246385.8118431517,1.0625
89,246379.2791248898,1.0741
90,246374.0613963440,1.0857
91,246369.3377041281,1.0972
92,246364.7354721104,1.1088
93,246360.6495526796,1.1204
94,246357.1155418269,1.1320
95,246354.0790086958,1.1436
96,246351.4683699084,1.1552
97,246349.2135740916,1.1668
98,246347.2518205614,1.1783
99,246345.5300552706,1.1899
100,246344.0051773298,1.2015
101,246342.6428275722,1.2132
102,246341.4157973926,1.2247
103,246340.3025006546,1.2363
104,246339.2857115295,1.2479
105,246337.6165437898,1.2621
106,246327.4660382541,1.3327
107,246327.0448857130,1.3470
108,246326.2211615693,1.4212
109,246325.8374700889,1.4302
110,246325.4435459839,1.4391
111,246324.9973933318,1.4481
112,246324.5116416589,1.4570
113,246324.0063802384,1.4660
114,246323.4954876875,1.4749
