# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776578,0.0120
2,1506203.5600746693,0.0246
3,1127133.1806397107,0.0391
4,820037.3684094292,0.0526
5,497540.1090292141,0.0689
6,373473.4894446335,0.0862
7,312813.0364410710,0.1123
8,285659.1135996331,0.1285
9,271070.7297631067,0.1406
10,265559.8465005726,0.1535
11,262360.0556848671,0.1662
12,258725.3744845075,0.1778
13,257432.8493597466,0.1894
14,255128.5129485534,0.1984
15,253913.9612398696,0.2073
16,253204.5410498265,0.2163
17,252796.0677688135,0.2252
18,252186.4138879662,0.2342
19,251721.0831538386,0.2431
20,251342.3837427234,0.2521
21,251032.7720798755,0.2610
22,250775.3564828863,0.2700
23,250558.2352310057,0.2789
24,250372.7979791843,0.2879
25,250212.6606039463,0.2969
26,250072.9694145208,0.3058
27,249949.9479456134,0.3148
28,249840.7519822954,0.3237
29,249743.1615384921,0.3327
30,249358.6972112574,0.3417
31,249197.5280839321,0.3506
32,249057.5778517174,0.3596
33,248935.1390871179,0.3685
34,248826.8219242286,0.3774
35,248729.9863281169,0.3864
36,248642.5648384761,0.3954
37,248562.9284407119,0.4043
38,248419.7816052503,0.4142
39,248405.4010333052,0.4268
40,248401.9642333988,0.4395
41,248377.5468029811,0.4485
42,248354.6530053205,0.4574
43,248332.3986682381,0.4663
44,248310.7430920645,0.4753
45,248289.6474020287,0.4843
46,248269.0725299911,0.4932
47,248248.9745936197,0.5022
48,248229.2859324980,0.5111
49,248209.8160937410,0.5201
50,248172.3995152675,0.5299
51,248158.1520800630,0.5398
52,248131.2025367061,0.5497
53,248125.8352842534,0.5595
54,248065.1928950055,0.5685
55,247990.7607653824,0.5784
56,247982.9771398422,0.5900
57,247980.6084340867,0.6027
58,247978.7101006805,0.6155
59,247976.9252074868,0.6282
60,247975.2168440518,0.6409
61,247973.5693221982,0.6536
62,247971.9789893896,0.6664
63,247970.4429935920,0.6791
64,247938.6089788128,0.6933
65,247906.1700248410,0.7023
66,247873.6014760971,0.7112
67,247840.9535117155,0.7202
68,247808.2632302186,0.7291
69,247775.5662963100,0.7381
70,247742.8961209194,0.7471
71,247710.2851802463,0.7560
72,247677.7658122071,0.7650
73,247645.3707052296,0.7740
74,247613.1378314135,0.7829
75,247581.1259404429,0.7919
76,247549.4059217401,0.8008
77,247518.0167187703,0.8097
78,247486.9795374152,0.8187
79,247456.3097161933,0.8277
80,247426.0182455056,0.8367
81,247396.1138187714,0.8457
82,247063.5497210382,0.8555
83,247054.0788645952,0.8671
84,247044.3548222560,0.8788
85,247033.4446675229,0.8904
86,247021.2813905644,0.9019
87,247007.9676427931,0.9135
88,246993.6376837509,0.9252
89,246978.4332259545,0.9368
