# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322511,0.0393
2,3723398.1420859885,0.0887
3,2649101.3772307737,0.1517
4,2222822.2595938426,0.1854
5,2043410.2482889821,0.2349
6,2002353.5075791937,0.3037
7,1973602.0969238747,0.3657
8,1973191.2611974003,0.4538
9,1972988.3885740915,0.5063
10,1956046.0143494878,0.5588
11,1951678.0982465087,0.6458
12,1949721.6396868029,0.6973
13,1948139.7766671642,0.7488
14,1946738.8107824528,0.8004
15,1945464.0575630213,0.8509
16,1944588.3505160683,0.9014
17,1943301.4065113880,0.9520
18,1943209.2331365258,1.0054
19,1942230.3489861500,1.0588
20,1941903.0583702088,1.1113
21,1941529.2046721436,1.1629
22,1940803.0784401083,1.2143
23,1940520.7831053690,1.3052
24,1940257.1753559669,1.3586
25,1939969.6578994733,1.4111
26,1939662.4072362618,1.4636
27,1939524.7174087411,1.5171
28,1939345.0055723339,1.5705
29,1939168.3362070315,1.6230
30,1938924.6157178113,1.6755
31,1938833.6569238326,1.7290
32,1937941.4443657848,1.7960
33,1936594.3283139011,1.8495
34,1935307.1893024666,1.9020
35,1933022.4166174922,1.9575
36,1928753.5091908576,2.0120
37,1927944.0277683928,2.0635
38,1922684.7211285168,2.1544
39,1914865.3472204786,2.2174
40,1905967.7480740668,2.2824
41,1898140.8936671154,2.3349
42,1894611.9242802260,2.3835
43,1893180.1071362700,2.4340
44,1893108.7048939657,2.4874
45,1893014.4374879198,2.6158
46,1892962.4991508191,2.7414
47,1892765.4716793813,2.8059
48,1892741.5209099939,2.8526
49,1892679.7672688162,2.8863
50,1892579.6438017695,2.9200
51,1892579.4072163741,2.9716
52,1892574.7253528943,3.0183
53,1892551.0275749951,3.0520
54,1892544.1247660324,3.0986
55,1892490.0571494519,3.1324
56,1892404.6096819660,3.1661
57,1892220.0994199284,3.2001
58,1892173.8822567635,3.2338
59,1892033.7307141151,3.2676
60,1892011.0999399701,3.3014
61,1891986.8491492972,3.3351
62,1891932.9378007883,3.3688
63,1891871.8715081925,3.4026
64,1891819.6993889865,3.4364
65,1891761.7022087930,3.4701
66,1891725.3431288684,3.5038
67,1891670.6778456422,3.5375
68,1891641.9825248970,3.5713
69,1891590.0712558466,3.6050
70,1891565.5511162081,3.6387
71,1891515.6259957745,3.6724
72,1891493.5715106649,3.7062
73,1891476.0642224383,3.7399
74,1891445.2753938562,3.7736
75,1891442.8740394576,3.8212
76,1891428.8543554798,3.8550
77,1891421.9600104201,3.9018
78,1891400.5134600617,3.9485
79,1891372.2564075752,3.9952
80,1891370.9545511170,4.0448
81,1891363.0707747631,4.0786
82,1891351.4012734916,4.1123
83,1891347.4950677294,4.1460
84,1891343.3243589143,4.1798
85,1891335.3677574086,4.2135
86,1891332.3196563062,4.2650
87,1891331.8870329312,4.3126
88,1891329.6920705368,4.3463
89,1891326.5234732209,4.3800
90,1891320.1697347302,4.4138
91,1891318.4132218773,4.4652
92,1891317.9332241863,4.5166
93,1891317.1779633337,4.5503
94,1891315.6234542683,4.5841
95,1891312.1447789851,4.6178
