# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322474,0.0395
2,3723398.1420859969,0.0889
3,2649101.3772305599,0.1514
4,2222822.2595824935,0.1851
5,2104789.5894472413,0.2318
6,2017978.8516356875,0.3088
7,1906944.6092964839,0.3455
8,1873874.3788301458,0.4497
9,1852980.8465623776,0.5117
10,1842610.5654797631,0.6312
11,1842219.9575539606,0.6914
12,1836163.6742345511,0.7524
13,1831744.6268454085,0.8079
14,1831643.9577596099,0.8604
15,1828245.2831255021,0.9139
16,1825607.0579040016,1.0009
17,1822658.6484041773,1.0601
18,1821740.7804688842,1.1212
19,1816477.0004422849,1.1727
20,1815318.8324932684,1.2339
21,1814147.0880863881,1.2949
22,1812957.5895731302,1.3551
23,1812314.9714699043,1.4153
24,1812134.6593083595,1.4774
25,1811956.5570468532,1.5394
26,1811673.6325492610,1.6181
27,1811362.9785712499,1.6793
28,1811063.7617798513,1.7396
29,1810586.2934507411,1.7940
30,1810525.7809931347,1.8504
31,1810328.8757176830,1.9059
32,1810273.7029442904,1.9622
33,1810122.1174122388,2.0244
34,1810018.1500561894,2.0797
35,1809853.5563048504,2.1341
36,1809449.6654757701,2.1942
37,1809361.1517607339,2.2563
38,1809198.7681309814,2.3183
39,1809031.3609942165,2.3804
40,1808959.3330643002,2.4425
41,1808874.6629008655,2.5046
42,1808717.3997092636,2.5667
43,1808556.5844929565,2.6288
44,1808344.8346691146,2.6910
45,1808118.9899308281,2.7521
46,1807858.2256142285,2.8131
47,1807512.2227090576,2.8656
48,1807511.8177928908,3.1254
49,1807511.4590644694,3.2136
50,1807510.4376477841,3.2633
51,1807504.9346445573,3.3486
52,1807504.5228380910,3.3992
53,1807504.4631303598,3.4526
54,1807503.8269598323,3.5426
55,1807503.1600501414,3.5951
56,1807502.7136215146,3.6820
57,1807501.8042115341,3.7157
58,1807501.5657902553,3.7495
59,1807501.3309606116,3.7832
60,1807501.2749950569,3.8169
61,1807501.2329712689,3.8506
62,1807501.2175565211,3.8843
63,1807501.2002473429,3.9180
