# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776554,0.0121
2,1506203.5600746721,0.0248
3,1127133.1806397082,0.0392
4,820037.3684095122,0.0527
5,497540.1090255000,0.0690
6,373473.4895043917,0.0862
7,312813.0371577155,0.1123
8,285659.2008271033,0.1285
9,271070.7798769055,0.1405
10,265559.9085022027,0.1534
11,262360.0880916185,0.1661
12,258725.3606501370,0.1777
13,257433.3886297661,0.1893
14,255128.6675088196,0.1983
15,253913.8983180324,0.2072
16,253203.9401100164,0.2162
17,252795.9645598821,0.2251
18,252186.3932803278,0.2340
19,251721.0599965917,0.2430
20,251342.3579578064,0.2519
21,251032.7429496978,0.2610
22,250775.3240943910,0.2702
23,250558.1994000016,0.2792
24,250372.7583952374,0.2882
25,250212.6169521056,0.2971
26,250072.9218129470,0.3060
27,249949.8959784643,0.3150
28,249840.6962776129,0.3238
29,249743.1034155024,0.3328
30,249358.6402392969,0.3418
31,249197.4727374147,0.3507
32,249057.5251877463,0.3597
33,248935.0896786269,0.3686
34,248826.7764072086,0.3776
35,248729.9448885143,0.3865
36,248642.5278507962,0.3955
37,248562.8958885470,0.4044
38,248419.7554390078,0.4143
39,248405.3797078462,0.4268
40,248402.0299702383,0.4396
41,248377.6050766668,0.4485
42,248354.7115260456,0.4575
43,248332.4599559149,0.4664
44,248310.8107552956,0.4753
45,248289.7275746327,0.4843
46,248269.1763392565,0.4932
47,248249.1252616217,0.5021
48,248229.5446053401,0.5111
49,248210.4064681070,0.5200
50,248175.0945824239,0.5299
51,248168.6615591793,0.5424
52,248165.7299046404,0.5602
53,248143.7822638301,0.5691
54,248133.0656841425,0.5781
55,248122.3819659399,0.5870
56,248111.7057919814,0.5960
57,248100.6895525149,0.6050
58,248084.5064354005,0.6139
59,248050.3214812451,0.6238
60,248046.3723802982,0.6363
61,248042.9663673795,0.6488
62,248039.7389948882,0.6614
63,248035.6113440142,0.6739
64,248017.9881637913,0.6838
65,248006.6882430251,0.6963
66,247999.1327406115,0.7088
67,247993.9446093300,0.7204
68,247989.1766329273,0.7320
69,247984.5561222997,0.7437
70,247979.9992986414,0.7552
71,247975.4781062191,0.7669
72,247970.9802614659,0.7785
73,247966.4977970473,0.7901
74,247962.0238956402,0.8017
75,247957.5520328526,0.8133
76,247953.0757424976,0.8249
77,247948.5885844640,0.8365
78,247944.0841175719,0.8481
79,247939.5559277305,0.8597
80,247934.9976168495,0.8713
81,247930.4028275664,0.8829
82,247925.7652349038,0.8945
83,247921.0785970599,0.9061
84,247916.3367152280,0.9177
85,247911.5334851695,0.9293
86,247906.6628803026,0.9409
87,247901.7189860580,0.9525
88,247896.6960027910,0.9641
89,247891.5882599693,0.9757
90,247886.3902378563,0.9873
91,247881.0965557865,0.9989
92,247875.7020225735,1.0105
93,247870.2016190071,1.0220
94,247864.5905246511,1.0336
95,247858.8641338163,1.0452
96,247853.0180740202,1.0568
97,247847.0481987928,1.0684
98,247840.9506241971,1.0800
99,247834.7217222838,1.0916
100,247828.3581485116,1.1032
101,247821.8568416355,1.1148
102,247815.2150448999,1.1264
103,247808.4303097317,1.1380
104,247801.5005150128,1.1496
105,247794.4238702988,1.1612
106,247787.1989134772,1.1728
107,247779.8245273868,1.1845
108,247772.2999472116,1.1960
109,247764.6247729045,1.2076
110,247756.7989565342,1.2192
111,247748.8227921087,1.2308
112,247740.6969514892,1.2424
113,247732.4224839999,1.2540
114,247724.0007553654,1.2655
115,247715.4335117031,1.2771
116,247706.7228528399,1.2887
117,247697.8711975218,1.3003
118,247688.8813210907,1.3119
119,247679.7563007235,1.3234
120,247670.4995269820,1.3350
121,247661.1147026757,1.3466
122,247651.6058026970,1.3582
123,247641.9770455162,1.3698
124,247534.8253275696,1.3841
125,247292.2378478300,1.3940
126,247289.0250610049,1.4056
127,247286.1597703874,1.4172
128,247283.2174705470,1.4288
129,247280.1173739792,1.4404
130,247276.8414489348,1.4519
131,247273.3840276969,1.4635
132,247269.7425337913,1.4751
133,247265.9155865992,1.4867
134,247261.9025758583,1.4983
135,247257.7034975365,1.5099
136,247253.3189800110,1.5215
137,247248.7501587200,1.5331
138,247243.9986819075,1.5447
139,247239.0666528046,1.5562
140,247233.9566516883,1.5709
141,247228.6716206004,1.5826
142,247223.2149617615,1.5942
143,247217.5904133956,1.6058
144,247211.8020103302,1.6174
145,247205.8541697340,1.6290
146,247199.7515132598,1.6406
147,247193.4989560452,1.6522
148,247187.1015862344,1.6638
149,247180.5646974226,1.6753
150,247087.4778490787,1.6905
151,246938.1802023322,1.7003
152,246785.9462195023,1.7102
153,246614.2809595248,1.7200
154,246520.0936556619,1.7369
155,246409.4461257065,1.7495
156,246136.0773165917,1.7593
157,245666.8766217174,1.7692
158,245642.5243285653,1.7807
159,245277.2016099121,1.7896
160,245097.4597269322,1.8060
161,245094.8576882377,1.8180
162,245092.7605768568,1.8299
163,245091.0438466633,1.8419
164,245030.4504895440,1.8509
165,245003.2110389614,1.8736
166,244997.3652900019,1.8852
167,244996.8860701844,1.8970
168,244971.9465246751,1.9059
169,244971.4094731148,1.9176
170,244971.3279822578,1.9293
171,244968.3571130404,1.9383
172,244968.1510410315,1.9473
173,244965.1887970208,1.9562
174,244961.2211972388,1.9707
175,244961.1275132886,1.9796
176,244959.3298487776,1.9895
177,244957.6108023038,2.0002
178,244956.3958645952,2.0153
179,244955.2811351199,2.0261
180,244954.5473302997,2.0422
181,244954.3761843163,2.0512
182,244953.8018481838,2.0672
183,244953.6594158967,2.0761
184,244953.5105854492,2.0903
185,244952.6215188373,2.1121
186,244952.5235571370,2.1263
187,244952.1367579543,2.1490
188,244952.0551802006,2.1632
189,244951.8572398669,2.1869
190,244951.7837295755,2.2011
