# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776568,0.0119
2,1506203.5600746686,0.0245
3,1223835.4098573474,0.0390
4,993658.3275833781,0.0516
5,934510.0636927477,0.0661
6,661033.4228924732,0.0768
7,635185.2389848138,0.0984
8,616398.2435274867,0.1128
9,600158.8164029472,0.1282
10,580532.1740716104,0.1427
11,557780.6423220326,0.1644
12,526201.3770108687,0.1844
13,483541.3502378518,0.2062
14,430221.7565062867,0.2281
15,363840.8041866564,0.2490
16,339726.9431896526,0.2616
17,319551.5700585882,0.2705
18,303551.7854605829,0.2859
19,298417.1095256897,0.3004
20,293141.1598920943,0.3120
21,292206.6955195745,0.3245
22,290928.7530942840,0.3335
23,290218.4193676234,0.3424
24,289823.5122618601,0.3566
25,289555.9923299482,0.3656
26,289349.1305549110,0.3745
27,289204.0102284984,0.3844
28,289013.2035420956,0.3933
29,288880.9972703040,0.4032
30,288702.6575573884,0.4121
31,288584.0442423657,0.4219
32,288417.2065126086,0.4308
33,288311.1390958272,0.4407
34,288154.5405477482,0.4496
35,288059.3266835295,0.4595
36,287911.3405740788,0.4684
37,287825.3362330255,0.4783
38,287684.2715739445,0.4872
39,287564.7053078043,0.4962
40,287443.7740862247,0.5051
41,287338.4315881698,0.5140
42,287233.4282690487,0.5230
43,287139.5063258423,0.5319
44,287047.2362862931,0.5409
45,286959.9165743952,0.5498
46,286860.8485715381,0.5587
47,286755.8263162960,0.5677
48,286680.9319155181,0.5766
49,286602.6399101597,0.5856
50,286520.2838922452,0.5945
51,286433.4341978750,0.6034
52,286357.1827905748,0.6124
53,286279.0492521850,0.6213
54,286207.9149176381,0.6303
55,286136.6912409344,0.6392
56,286070.3328036692,0.6482
57,286004.3911439950,0.6571
58,285745.7942316520,0.6679
59,285622.2229871907,0.6796
60,285526.4848578875,0.6885
61,285484.6284740962,0.6975
62,285384.0456448425,0.7064
63,285360.2027110315,0.7154
64,285250.6250019604,0.7244
65,285220.0002140788,0.7333
66,285122.1093517765,0.7422
67,284900.9869974102,0.7530
68,284886.2481983448,0.7647
69,284866.2684650559,0.7764
70,284850.2666686792,0.7881
71,284830.1860114999,0.7998
72,284809.2330980010,0.8115
73,284438.3932767567,0.8232
74,281618.9999519603,0.8377
75,278668.9205706692,0.8493
76,277311.4776191509,0.8610
77,276633.2719532460,0.8727
78,276231.0447030801,0.8835
79,275873.9243828405,0.8943
80,275431.2589264165,0.9051
81,275184.1199162145,0.9158
82,274906.2866299096,0.9266
83,274730.1561427636,0.9374
84,274462.7946116802,0.9482
85,274326.2728304361,0.9589
86,274030.3908765740,0.9697
87,273919.7036120635,0.9805
88,273561.2909373677,0.9904
89,273444.1802525408,1.0002
90,272928.3884989701,1.0101
91,272763.4665806740,1.0199
