# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322511,0.0360
2,3723398.1420859941,0.0812
3,2649101.3772307774,0.1408
4,2222822.2595948461,0.1745
5,2043410.2450199116,0.2241
6,2002353.4203559677,0.2930
7,1976184.0242697522,0.3551
8,1975775.9191126181,0.4076
9,1973459.7510694198,0.4562
10,1972404.6453321339,0.5076
11,1972142.1436043622,0.5610
12,1961078.1431599187,0.6144
13,1957825.8654895083,0.7465
14,1957453.4114579493,0.7999
15,1956854.5746984521,0.8514
16,1956609.8179005710,0.9048
17,1956400.3780428981,0.9582
18,1956104.9537171249,1.0116
19,1955860.2391589496,1.0642
20,1955433.1831230375,1.1167
21,1955432.6474999455,1.3927
22,1955386.9496701679,1.4414
23,1955368.2476403343,1.4929
24,1955358.5978040588,1.5445
25,1955345.3919448187,1.5959
26,1955337.0183878825,1.6474
27,1955321.2665055636,1.6990
28,1955319.0757899571,1.7505
29,1955318.8594234088,1.8386
30,1955317.3896604774,1.8852
31,1955316.8854927404,1.9366
32,1955316.0668987948,1.9704
33,1955315.8276352917,2.0041
34,1955314.7694425585,2.0378
35,1955313.3921308250,2.0715
36,1955312.5523836059,2.1053
37,1955312.0933229544,2.1566
38,1955311.2044847270,2.1903
