# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261413,0.0000
1,8169774.8087536050,0.0166
2,2054200.9555377201,0.0347
3,706463.2020793816,0.0633
4,452516.5346462138,0.0815
5,395197.8676273318,0.1040
6,380349.1907419130,0.1236
7,378639.5695321396,0.1571
8,375821.3168331410,0.1782
9,371512.8872470245,0.1997
10,370309.8229111629,0.2308
11,369160.1993446409,0.2482
12,368976.6208967118,0.2623
13,368269.3542059555,0.2882
14,367980.8123147596,0.3035
15,367935.0502966872,0.3827
16,367293.6728638016,0.4508
17,367125.0674506286,0.5253
18,366940.2347033953,0.6261
19,366811.1041716515,0.7317
20,366771.9609978900,0.8337
21,366598.3601979126,0.8458
22,366564.0676773541,0.9297
23,366552.6713962934,1.0751
24,366505.8609553107,1.0988
25,366494.0077296728,1.2442
26,366478.8530263546,1.3923
27,366474.1797296781,1.5378
28,366449.1040997033,1.5540
29,366444.6788293062,1.6296
30,366433.5341534952,1.7750
31,366422.1974470249,1.8506
32,366413.5788068792,2.0011
33,366405.9871730714,2.0766
34,366399.0489659310,2.2272
35,366395.1508081286,2.2542
36,366391.6201967238,2.4047
37,366383.2603704593,2.4549
38,366382.5493868964,2.4776
39,366382.3712494241,2.4938
40,366382.2549334155,2.5238
41,366377.6839061659,2.6692
42,366376.6182937762,2.6907
43,366375.2250036785,2.7599
44,366370.9643668705,2.9054
45,366368.6682030954,2.9217
46,366366.4226226597,2.9833
47,366366.1411234753,3.0132
48,366362.9678490877,3.1586
49,366362.7672492134,3.1706
50,366360.1262885671,3.3160
51,366359.8917777642,3.3280
52,366359.3144678198,3.3621
53,366358.8431941844,3.3794
54,366355.9698053832,3.5249
55,366355.7474448933,3.5411
56,366355.5975214096,3.5733
57,366355.5704902104,3.5864
58,366354.5469901650,3.7318
59,366353.3166255063,3.8776
60,366353.2698924878,3.8897
