# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322474,0.0394
2,3723398.1420859946,0.0888
3,2649101.3772305669,0.1532
4,2222822.2595833321,0.1869
5,2043410.2329052857,0.2366
6,2002349.2903319479,0.3054
7,1975178.9486673300,0.3676
8,1974660.2698762496,0.4191
9,1973706.8834893082,0.4706
10,1973179.8522449404,0.5230
11,1958286.3434325885,0.6139
12,1958173.8254438625,0.6675
13,1955996.2299763418,0.7209
14,1954884.9537331432,0.7745
15,1954094.5561623287,0.8270
16,1953380.4955156844,0.8785
17,1952606.4903910444,0.9300
18,1951787.4410388039,0.9815
19,1951508.3608681776,1.0724
20,1951149.0716650523,1.1259
21,1950838.3601209589,1.1784
22,1950521.0553278914,1.2308
23,1950346.5304217900,1.2843
24,1950159.7352021581,1.3378
25,1949970.5711128514,1.3912
26,1949803.4988889657,1.4583
27,1949090.5714257958,1.5098
28,1948292.5036297338,1.5612
29,1926287.7721055578,1.6128
30,1913768.6147508200,1.6465
31,1899505.8255696835,1.6802
32,1894769.6622899233,1.7140
33,1892972.5924163123,1.7478
34,1891605.3071598976,1.7844
35,1890665.5454421437,1.8182
36,1889330.9324509245,1.8519
37,1888150.4778111132,1.8857
38,1887044.7303433679,1.9195
39,1885992.4927832731,1.9533
40,1884986.7115707693,1.9871
41,1884020.7439431523,2.0208
42,1883087.8036570197,2.0546
43,1880992.1601869571,2.0912
44,1876982.0585331074,2.1278
45,1869614.0321087111,2.1645
46,1865322.3655541316,2.2198
47,1864768.3475002672,2.2685
48,1864208.5427972325,2.3172
49,1863631.3121292349,2.3658
50,1863027.8320880902,2.4145
51,1862391.8917716669,2.4632
52,1861719.6712714753,2.5118
53,1861009.4661634169,2.5604
54,1854114.3715014060,2.6259
55,1841834.4885339269,2.6827
56,1825401.9529155882,2.7727
57,1813513.3437478170,2.8627
58,1802017.7943411123,2.9525
59,1794115.4742701573,3.0405
60,1789028.6200885053,3.1285
61,1781061.7434952857,3.1900
62,1775793.9876885342,3.2367
63,1767419.0842742142,3.2882
64,1756608.0482534689,3.4805
65,1748726.8268026824,3.6064
66,1735975.1978556667,3.7093
