# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322567,0.0376
2,3723398.1420859965,0.0848
3,2649101.3772306191,0.1468
4,2222822.2595813945,0.1821
5,2043410.2400068876,0.2318
6,2002344.4063497027,0.3005
7,1973441.1311361347,0.3626
8,1973063.7006658558,0.4141
9,1971969.7272079871,0.4656
10,1955591.2969781039,0.5556
11,1955332.3980142153,0.6080
12,1953338.3809595038,0.6990
13,1952335.7158310192,0.7524
14,1951635.0917859450,0.8084
15,1951014.4200913934,0.8608
16,1950331.7645847304,0.9124
17,1949644.5693407885,0.9640
18,1949289.3465470315,1.0549
19,1949018.7013597109,1.1084
20,1948739.4839625955,1.1618
21,1948457.9340250031,1.2142
22,1948104.7726975027,1.2668
23,1947993.6698832405,1.3576
24,1947864.3200667538,1.4110
25,1947702.9551867396,1.4644
26,1947545.1873134901,1.5179
27,1947380.8181724756,1.5704
28,1924769.4882707249,1.6041
29,1902533.9609179471,1.6379
30,1896888.1096426093,1.6716
31,1896178.6986919844,1.7054
32,1895410.7743784629,1.7391
33,1894481.5051495396,1.7728
34,1894188.7899096697,1.8065
35,1894133.5409685529,1.8403
36,1893912.5122628687,1.8741
37,1893694.3387309758,1.9078
38,1893496.0529958238,1.9416
39,1893248.5757742983,1.9753
40,1892956.1954679617,2.0091
41,1892681.3869381933,2.0428
42,1892402.8467033727,2.0766
43,1890501.2563633134,2.1240
44,1889205.3787823552,2.1578
45,1886001.5342747513,2.2092
46,1883527.6067458619,2.2429
47,1879321.1645388308,2.2796
48,1871624.7414440808,2.3163
49,1867646.9729711320,2.3716
50,1867288.6483905648,2.4203
51,1859427.5343578816,2.4540
52,1846017.7233815142,2.5050
53,1832119.8960810013,2.5646
54,1831733.5410637036,2.6141
55,1831356.7972021080,2.6637
56,1830974.3487277990,2.7133
57,1830573.3906761103,2.7629
58,1830138.2485426220,2.8126
59,1829662.4753956217,2.8621
60,1822628.7681940824,2.9285
61,1801925.9789133230,3.0141
62,1782435.2234417510,3.1271
63,1771299.0508591209,3.2439
64,1760297.6328939889,3.3568
65,1753553.6440101410,3.4150
66,1746457.1292225455,3.4675
67,1742105.1681357790,3.5142
