# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776568,0.0121
2,1506203.5600746695,0.0247
3,1127133.1806397119,0.0392
4,820037.3684094282,0.0527
5,497540.1090292204,0.0690
6,373473.4894651224,0.0861
7,312813.0364197666,0.1123
8,285659.1627364327,0.1285
9,271070.7820016569,0.1405
10,265559.8858439782,0.1535
11,262360.1075653547,0.1662
12,258725.3923849133,0.1778
13,257433.6525965378,0.1894
14,255129.4208494533,0.1984
15,253914.5160081627,0.2073
16,253204.0538839911,0.2162
17,252796.0059345300,0.2252
18,252186.3764508038,0.2341
19,251721.0430077838,0.2430
20,251342.3408117575,0.2519
21,251032.7256309264,0.2609
22,250775.3066802828,0.2698
23,250558.1817244087,0.2787
24,250372.7403890693,0.2877
25,250212.5985183750,0.2966
26,250072.9025476896,0.3055
27,249949.8759481211,0.3145
28,249840.6756969416,0.3234
29,249743.0828067282,0.3324
30,249358.6179128311,0.3413
31,249197.4508518865,0.3503
32,249057.5040383799,0.3592
33,248935.0697044156,0.3682
34,248826.7576335997,0.3771
35,248729.9275973394,0.3861
36,248642.5120426727,0.3950
37,248562.8815893997,0.4040
38,248419.7492009807,0.4139
39,248405.3724671814,0.4264
40,248402.0086921839,0.4391
41,248377.5845137050,0.4481
42,248354.6905944602,0.4570
43,248332.4382594337,0.4659
44,248310.7880086257,0.4749
45,248289.7035963912,0.4839
46,248269.1508863737,0.4928
47,248249.0982304365,0.5018
48,248229.5157644207,0.5107
49,248210.3755956868,0.5196
50,248175.0093624802,0.5295
51,248168.5731708686,0.5420
52,247941.5655049516,0.5553
53,247324.6721368011,0.5651
54,247178.7553780650,0.5759
55,246878.3660377105,0.5849
56,246811.0810965019,0.5938
57,246761.5958172216,0.6028
58,246725.6335537276,0.6117
59,246695.9647347489,0.6207
60,246670.7924112974,0.6296
61,246648.7792988168,0.6386
62,246629.2340378877,0.6475
63,246611.6778608086,0.6564
64,246595.8058321174,0.6654
65,246581.3931978476,0.6743
66,246516.9854645165,0.6851
67,246494.8186331395,0.6940
68,246472.8706720443,0.7076
69,246470.6857829213,0.7165
70,246468.3015365934,0.7254
71,246466.1460311163,0.7344
72,246464.1683086872,0.7433
73,246462.3384584597,0.7523
74,246460.6349397251,0.7612
75,246459.0421509544,0.7702
76,246457.5480990729,0.7791
77,246456.1430965911,0.7881
78,246454.8190095174,0.7970
79,246453.5687837713,0.8059
80,246452.3861233742,0.8148
81,246451.2653341748,0.8238
82,246450.2012509471,0.8327
83,246449.1891606640,0.8417
84,246448.2247836228,0.8506
