# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776559,0.0120
2,1506203.5600746702,0.0245
3,1127133.1806397073,0.0389
4,820037.3684095091,0.0524
5,497540.1090229215,0.0687
6,373473.4894609013,0.0858
7,312813.0372193392,0.1118
8,285659.1686826804,0.1279
9,271070.7556421933,0.1398
10,265559.8471846710,0.1527
11,262360.0241491984,0.1653
12,258725.3277553091,0.1768
13,257432.5875444770,0.1884
14,255126.8367528438,0.1972
15,253914.2474038116,0.2061
16,253204.4284857867,0.2150
17,252795.9685708576,0.2239
18,252186.4203215432,0.2328
19,251721.0903346597,0.2416
20,251342.3919532080,0.2505
21,251032.7811904795,0.2594
22,250775.3666086716,0.2683
23,250558.2465119212,0.2772
24,250372.8105245162,0.2861
25,250212.6745912682,0.2949
26,250072.9852190760,0.3038
27,249949.9650434432,0.3127
28,249840.7701913852,0.3216
29,249743.1808316281,0.3304
30,249358.7165359636,0.3393
31,249197.5467708081,0.3482
32,249057.5955604852,0.3571
33,248935.1556957605,0.3659
34,248826.8373219745,0.3748
35,248730.0002258775,0.3837
36,248642.5771979867,0.3926
37,248562.9392397945,0.4015
38,248419.7834177687,0.4113
39,248405.4031806874,0.4237
40,248402.0096450138,0.4364
41,248377.5850891891,0.4453
42,248354.6890250603,0.4542
43,248332.4343840833,0.4630
44,248310.7811696623,0.4719
45,248289.6927668952,0.4808
46,248269.1352362880,0.4897
47,248249.0753614422,0.4985
48,248229.4827145463,0.5074
49,248210.3252354096,0.5163
50,248174.9043901616,0.5261
51,248168.2891277894,0.5386
52,248161.6106367346,0.5511
53,248145.5345765757,0.5608
54,248139.8207628033,0.5733
55,248137.8536965089,0.5857
56,248134.3779234352,0.5956
57,248131.7013805186,0.6054
58,248129.0915367049,0.6152
59,248126.5406236648,0.6250
60,248124.0482904878,0.6348
61,248121.6141285207,0.6446
62,248119.2375924777,0.6544
63,248116.9179514612,0.6642
64,248114.6548986911,0.6740
65,248112.4476929879,0.6837
66,248110.2959432712,0.6936
67,248108.1989447092,0.7034
68,248106.1563378088,0.7132
69,248104.1673156768,0.7230
70,248102.2314073962,0.7327
71,248100.3479073024,0.7425
72,248098.5165058558,0.7524
73,248096.7362949515,0.7622
74,248095.0068826675,0.7719
75,248093.3276554190,0.7817
76,248091.6979101328,0.7915
76,248091.8608544792,0.8053
77,248090.2796267719,0.8151
78,248088.7468863286,0.8249
79,248087.2618465678,0.8347
80,248085.8238395243,0.8445
81,248082.6876033501,0.8533
82,248079.6062968255,0.8622
83,248076.5791935629,0.8711
84,248073.6053040812,0.8800
85,248070.6836881769,0.8889
86,248067.8134162501,0.8978
87,248064.9935754988,0.9067
88,248062.2232668316,0.9156
89,248059.5016048620,0.9244
90,248056.8277202111,0.9333
91,248054.2007540366,0.9421
92,248051.6198629468,0.9510
93,248049.0842150049,0.9599
94,248046.5929898910,0.9688
95,248044.1453798820,0.9777
96,248041.7405893438,0.9866
97,248039.3778326400,0.9955
98,248037.0563349661,1.0043
99,248034.7753322081,1.0133
100,248032.5340717811,1.0222
101,248030.3318072708,1.0310
102,248028.1678045196,1.0399
