# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322539,0.0372
2,3723398.1420859955,0.0839
3,2649101.3772305921,0.1456
4,2222822.2595849782,0.1807
5,2043410.2341767824,0.2313
6,2002349.2710561783,0.3000
7,1975597.3140469466,0.3620
8,1975195.7994100277,0.4145
9,1974668.5506829764,0.4806
10,1974329.2538758020,0.5321
11,1939843.9653575954,0.5817
12,1903605.6493697430,0.7167
13,1888740.5367736737,0.7884
14,1879612.1951483407,0.8372
15,1876791.9795433672,0.8897
16,1870173.0057204040,0.9402
17,1814891.9193027341,1.0244
18,1793871.8927542348,1.0582
19,1792374.1228183741,1.0949
20,1790265.4662263454,1.1344
21,1786890.6379002158,1.1797
22,1782067.4121424879,1.2307
23,1768853.3971415828,1.3192
24,1766290.7832221251,1.3773
25,1765746.7301200035,1.4270
26,1765262.2520329538,1.4766
27,1764820.5102733574,1.5262
28,1764406.1834437114,1.5758
29,1764006.0729350632,1.6254
30,1763609.5607928259,1.6750
31,1763208.9186583138,1.7246
32,1762799.3070131254,1.7742
33,1762378.4477300940,1.8238
34,1761946.1029700013,1.8733
35,1755100.6407919219,1.9397
36,1744965.1163544767,2.1173
37,1734748.9199145965,2.2405
