# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322511,0.0394
2,3723398.1420859965,0.0889
3,2649101.3772306214,0.1517
4,2222822.2595831500,0.1853
5,2057113.2230944200,0.2348
6,1974533.8435779032,0.3519
7,1970750.5832538276,0.4138
8,1968837.2862514956,0.4777
9,1963010.0427635466,0.5731
10,1960831.6217820924,0.6234
11,1960506.3017677821,0.7110
12,1959743.9740297215,0.7673
13,1959161.3933601219,0.8186
14,1959001.2436275959,0.9710
15,1925491.2703013269,1.0184
16,1921913.4427238784,1.0667
17,1920652.4320442937,1.1150
18,1919867.2179480584,1.1634
19,1919234.5778171769,1.2117
20,1918068.5501654733,1.2601
21,1916607.0848979980,1.3084
22,1915335.5438693557,1.3557
23,1914153.6823106958,1.4021
24,1912346.8916509137,1.4484
25,1911809.4761318709,1.4968
26,1911241.7098770682,1.5815
27,1911230.3971672691,1.7349
28,1911224.2548375784,1.7842
29,1911211.0561212876,1.8345
30,1911205.2232118323,1.9193
31,1911189.9217458859,1.9677
32,1870714.8044403181,2.0123
33,1861697.0395665485,2.0430
34,1861490.5603913702,2.0866
35,1861460.7076329608,2.1312
36,1861446.0754398964,2.1895
37,1861417.2319239462,2.2342
38,1861402.7035258443,2.2928
39,1861374.0508934695,2.3375
40,1861359.5577392583,2.3960
41,1861330.9831225863,2.4408
42,1861321.9140919971,2.4717
43,1861270.6188815415,2.5164
44,1861266.8201164186,2.5472
45,1861254.6830680245,2.5919
46,1861250.9741107947,2.6355
47,1861243.6254564764,2.6793
48,1861240.6446198861,2.7101
49,1861228.2036127737,2.7548
50,1861224.5437639910,2.7985
51,1861217.2589089859,2.8423
52,1861214.3591648128,2.8731
53,1861202.6340809963,2.9776
54,1861202.2084608250,3.0084
55,1861202.1945791945,3.0540
56,1861202.1727249331,3.0848
57,1861202.1678808620,3.1156
58,1861202.1613161897,3.1464
59,1861202.1488721359,3.1774
