# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776582,0.0121
2,1506203.5600746698,0.0247
3,1127133.1806397117,0.0391
4,820037.3684094285,0.0526
5,497540.1090292381,0.0689
6,373473.4894394513,0.0860
7,312813.0364726145,0.1121
8,285659.1392815295,0.1283
9,271070.7667155286,0.1403
10,265559.8490566753,0.1532
11,262360.0562654943,0.1659
12,258725.3804390879,0.1775
13,257433.2381143929,0.1891
14,255127.6261519060,0.1980
15,253915.2322183020,0.2069
16,253204.2462019658,0.2159
17,252796.0054802720,0.2248
18,252186.4203985994,0.2338
19,251721.0869036982,0.2427
20,251342.3846008605,0.2517
21,251032.7695578530,0.2606
22,250775.3507044494,0.2696
23,250558.2260118288,0.2785
24,250372.7851327610,0.2874
25,250212.6442770566,0.2964
26,250072.9498434391,0.3053
27,249949.9244272796,0.3143
28,249840.7251519775,0.3232
29,249743.1332617571,0.3322
30,249358.6663990962,0.3412
31,249197.4982372643,0.3501
32,249057.5495216716,0.3591
33,248935.1126058560,0.3680
34,248826.7977121943,0.3769
35,248729.9645408911,0.3859
36,248642.5456952149,0.3948
37,248562.9117903275,0.4038
38,248419.7649379044,0.4136
39,248405.3862974318,0.4261
40,248402.0219080308,0.4388
41,248377.5968740998,0.4477
42,248354.7023750310,0.4567
43,248332.4496289076,0.4656
44,248310.7988764259,0.4745
45,248289.7137993501,0.4835
46,248269.1603423472,0.4924
47,248249.1066170287,0.5013
48,248229.5227528405,0.5102
49,248210.3805529435,0.5192
50,248175.0295683656,0.5291
51,248168.5885417483,0.5416
52,248161.7788530631,0.5594
53,248155.0130689013,0.5683
54,248146.0063370060,0.5782
55,248128.7754746889,0.5880
56,248124.2193500795,0.5979
57,248119.7726786594,0.6078
58,248090.1550612926,0.6177
59,248082.5772076304,0.6275
60,248077.8208439118,0.6374
61,248073.3778463711,0.6472
62,248069.1769030695,0.6571
63,248065.2109905140,0.6670
64,248061.4722178591,0.6769
65,248057.9527760847,0.6868
66,248041.7102366684,0.6958
67,248031.8420280750,0.7047
68,248028.4010270179,0.7145
69,248012.0569546046,0.7235
70,248002.3591356408,0.7324
71,247998.9573301600,0.7423
72,247982.5310140599,0.7513
73,247973.0036862996,0.7602
74,247969.6208133878,0.7701
75,247953.1324739090,0.7790
76,247943.7754535846,0.7879
77,247940.3871347131,0.7978
78,247923.8572075497,0.8067
79,247914.6699543000,0.8156
80,247911.2491288399,0.8255
81,247908.8678982810,0.8344
82,247891.8207644212,0.8434
83,247882.6254273558,0.8523
84,247880.5878077067,0.8612
85,247863.7050086963,0.8702
86,247854.7478438466,0.8791
87,247850.8309979711,0.8889
88,247849.1145915683,0.8979
89,247831.7481917692,0.9068
90,247822.7664666763,0.9157
91,247821.3291030907,0.9247
92,247804.1766891362,0.9337
93,247795.4277630365,0.9426
94,247790.7406943199,0.9524
95,247789.5557115029,0.9614
96,247771.9646959731,0.9703
97,247763.1841219914,0.9793
98,247757.9939967486,0.9891
99,247740.6077324075,1.0033
100,247732.0411787717,1.0122
101,247726.4964670052,1.0221
102,247709.3284489777,1.0363
103,247700.9750390302,1.0453
104,247695.0194592704,1.0551
105,247678.0891623945,1.0693
106,247669.9473800295,1.0782
107,247663.5215205060,1.0881
108,247646.8481328448,1.1023
109,247638.9168737509,1.1113
110,247631.9609143606,1.1211
111,247615.5635091088,1.1353
112,247607.8420979092,1.1442
113,247600.2980125481,1.1541
114,247598.2237853852,1.1657
115,247597.7697054246,1.1782
116,247595.5676847064,1.1871
117,247593.5757607300,1.1970
118,247592.7062778496,1.2059
119,247591.8379593066,1.2148
120,247590.9706471072,1.2237
121,247590.1038185550,1.2327
122,247589.2370689340,1.2416
123,247588.3699747722,1.2506
124,247587.5021181636,1.2595
125,247586.6330822326,1.2684
126,247585.7624486216,1.2773
127,247584.8898007232,1.2862
128,247584.0147218131,1.2952
129,247583.1367944816,1.3041
