# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776587,0.0120
2,1506203.5600746712,0.0247
3,1034915.7727024913,0.0392
4,558198.8853067929,0.0584
5,501369.2418783681,0.0720
6,317068.8435048799,0.0837
7,307022.4661827043,0.0991
8,274479.8124801510,0.1089
9,268711.2465628019,0.1310
10,267162.7347320346,0.1456
11,266586.3864297276,0.1585
12,266222.4802280973,0.1717
13,265630.8159283528,0.1833
14,264744.3569201508,0.1948
15,264392.8071984081,0.2064
16,262857.8787690775,0.2144
17,262432.6774671582,0.2224
18,262188.3373580021,0.2304
19,261733.5200710375,0.2384
20,261327.5138608898,0.2463
21,261004.3909359607,0.2543
22,260749.4358696413,0.2624
23,260545.3394869554,0.2703
24,260376.6128342774,0.2783
25,260230.7541247261,0.2864
26,260098.7505643531,0.2944
27,259974.8025297965,0.3024
28,259855.6146026477,0.3105
29,259739.6279464945,0.3185
30,259626.3785271874,0.3264
31,259516.0217748992,0.3344
32,259408.9925595582,0.3425
33,259305.7831087248,0.3505
34,259206.8026549186,0.3585
35,259112.3157252789,0.3666
36,259022.4276920270,0.3745
37,258937.1080650794,0.3826
38,258856.2351233171,0.3906
39,258779.6325387733,0.3986
40,258707.1102545306,0.4066
41,258638.4933476386,0.4146
42,258573.6245842195,0.4226
43,258512.3817985840,0.4306
44,258454.6662359897,0.4386
45,258400.4049160039,0.4467
46,258349.5398302044,0.4547
47,258302.0290288059,0.4627
48,258257.8338847586,0.4707
49,258211.6168626446,0.4796
50,258173.2945640315,0.4886
51,258139.9050653142,0.4975
52,258139.1263909919,0.5101
53,258136.6145541985,0.5296
54,258127.0069672706,0.5455
55,258124.0333625928,0.5535
56,258120.9921192688,0.5615
57,258117.9025187334,0.5695
58,258114.7804132100,0.5775
59,258111.6388139858,0.5855
60,258108.4883755836,0.5935
61,258105.3377852758,0.6015
62,258102.1940808869,0.6095
63,258099.0629310110,0.6175
64,258095.9488431432,0.6255
65,258092.8553705329,0.6335
66,258089.7852611626,0.6415
67,258086.7406050741,0.6496
68,258083.7229427235,0.6576
69,258080.7333681730,0.6656
70,258077.7726163939,0.6736
71,258074.8411319336,0.6816
72,258071.9391332129,0.6896
73,258069.0666633534,0.6976
74,258066.2236303626,0.7056
75,258063.4098487396,0.7136
76,258060.6250609358,0.7215
77,258057.8689727751,0.7295
78,258055.1412616873,0.7375
79,258052.4415979784,0.7456
80,258049.7696538792,0.7536
81,258047.1251145830,0.7615
82,258044.5076821645,0.7695
83,258041.9170836043,0.7775
84,258039.3530712211,0.7854
85,258036.8154229483,0.7934
86,258034.3039480295,0.8014
87,258031.8184824572,0.8094
88,258029.3588876022,0.8174
89,258026.9250534827,0.8254
90,258024.5168937097,0.8334
91,258022.1343441212,0.8414
92,258019.7773613145,0.8494
93,258017.4459224070,0.8573
94,258015.1400199354,0.8653
95,258012.8596630023,0.8734
96,258010.6048733112,0.8813
97,258008.3756846716,0.8893
98,258006.1721417638,0.8973
99,258003.9942977461,0.9053
