# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783486,0.0121
2,869806.2790742528,0.0246
3,567418.6040721692,0.0414
4,400594.1646215616,0.0505
5,371447.4905174819,0.0655
6,362562.8273579140,0.0746
7,360836.3577760155,0.1028
8,359914.4463807155,0.1274
9,359384.0467467719,0.1391
10,359238.4066012641,0.1509
11,359181.6591886992,0.1626
12,359164.4113890927,0.1744
13,358998.0846700575,0.1834
14,358972.9267294164,0.1924
15,358960.9724112268,0.2042
16,358958.8566079903,0.2162
17,358952.5689862036,0.2334
18,358950.4118875882,0.2424
19,358949.7943002649,0.2542
20,358949.4499708199,0.2659
21,358949.1545407524,0.2777
22,358948.8681582905,0.2894
23,358948.5930277363,0.3012
24,358948.3264155456,0.3129
25,358948.0657874557,0.3246
26,358947.7478690493,0.3388
27,358947.4335907429,0.3478
28,358947.1347657863,0.3568
29,358946.8250098686,0.3658
30,358946.5154995258,0.3749
31,358946.2025317266,0.3838
32,358945.8868595573,0.3929
33,358945.5733128485,0.4019
