# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783472,0.0132
2,869806.2790742534,0.0271
3,567418.6040721694,0.0459
4,400594.1646215611,0.0559
5,371447.4905173766,0.0728
6,362562.8273580090,0.0828
7,360836.3577127261,0.1145
8,359914.8919264288,0.1421
9,359384.2183049880,0.1553
10,359238.4865927849,0.1681
11,359181.7298364035,0.1798
12,359164.4722462854,0.1915
13,358999.7900192437,0.2004
14,358972.8599878473,0.2094
15,358960.7441663232,0.2210
16,358958.6227869040,0.2329
17,358952.3049472013,0.2500
18,358950.1339948907,0.2590
19,358949.5199455940,0.2707
20,358949.1769162493,0.2824
21,358948.8816421798,0.2940
22,358948.5972757870,0.3057
23,358948.3248886930,0.3174
24,358948.0592821673,0.3291
25,358947.7985919806,0.3408
26,358947.4833426047,0.3498
27,358947.2013146156,0.3588
28,358946.8869342544,0.3677
29,358946.5810016909,0.3767
30,358946.2737375499,0.3856
31,358945.9618649225,0.3946
32,358945.6493636549,0.4036
33,358945.3138777571,0.4125
