# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783519,0.0121
2,869806.2790742527,0.0246
3,567418.6040721697,0.0413
4,400594.1646215617,0.0502
5,371447.4905175096,0.0652
6,362562.8273450395,0.0741
7,360836.3600190250,0.1023
8,359915.0069464431,0.1267
9,359384.0208426378,0.1384
10,359238.1050936281,0.1501
11,359181.3301427456,0.1618
12,359164.0654487090,0.1735
13,358998.2466597067,0.1826
14,358971.7247020954,0.1915
15,358959.8317368912,0.2032
16,358957.6925412719,0.2151
17,358951.5030525361,0.2321
18,358949.2404565000,0.2411
19,358948.6184346605,0.2528
20,358948.2735348454,0.2644
21,358947.9785099719,0.2761
22,358947.6923868828,0.2878
23,358947.4203734692,0.2995
24,358947.1559580567,0.3112
25,358946.8911777806,0.3228
26,358946.5705252634,0.3370
27,358946.2573007637,0.3459
28,358945.9435327695,0.3548
29,358945.6318605760,0.3639
30,358945.3076716625,0.3729
31,358945.0002801697,0.3819
32,358944.6875688831,0.3909
33,358944.3753965762,0.3999
