# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783477,0.0120
2,869806.2790742526,0.0244
3,567418.6040721686,0.0411
4,400594.1646215608,0.0501
5,371447.4905173754,0.0651
6,362562.8273451382,0.0741
7,360836.3599232993,0.1023
8,359914.4611032053,0.1268
9,359383.9114289458,0.1385
10,359238.1576014167,0.1502
11,359181.4037863109,0.1618
12,359164.1354924472,0.1735
13,359000.9956472434,0.1825
14,358972.5904323286,0.1914
15,358960.5143703124,0.2031
16,358958.3760811462,0.2150
17,358952.0667737441,0.2320
18,358949.8423824218,0.2410
19,358949.2399294220,0.2527
20,358948.8984691855,0.2644
21,358948.6038584042,0.2761
22,358948.3203356720,0.2878
23,358948.0508585037,0.2994
24,358947.7854924941,0.3112
25,358947.5250970196,0.3228
26,358947.2082912416,0.3370
27,358946.9009620742,0.3460
28,358946.5845510726,0.3550
29,358946.2730737514,0.3640
30,358945.9599390791,0.3730
31,358945.6492493334,0.3820
32,358945.3361772657,0.3910
33,358945.0287109563,0.4001
