# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783477,0.0124
2,869806.2790742530,0.0250
3,567418.6040721697,0.0417
4,400594.1646215621,0.0508
5,371447.4905174823,0.0658
6,362562.8273563730,0.0748
7,360836.3551526647,0.1032
8,359913.6181235907,0.1277
9,359383.2757947295,0.1395
10,359237.5179924867,0.1512
11,359180.7651641774,0.1629
12,359163.4885034692,0.1747
13,358998.9863051813,0.1837
14,358972.1939731110,0.1927
15,358960.0726487637,0.2044
16,358957.8947930650,0.2165
17,358951.5279635214,0.2335
18,358949.3725541075,0.2426
19,358948.7502961126,0.2544
20,358948.4055245277,0.2661
21,358948.1111476346,0.2778
22,358947.8256826758,0.2895
23,358947.5645918296,0.3012
24,358947.2241705408,0.3134
25,358946.9770856831,0.3224
26,358946.7235877750,0.3314
27,358946.4918741483,0.3404
28,358946.1859519114,0.3597
29,358946.1238003049,0.3688
30,358946.0108001501,0.3778
31,358945.8077940771,0.3867
32,358945.4943612193,0.3958
33,358945.1813010136,0.4048
