# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783486,0.0123
2,869806.2790742533,0.0247
3,567418.6040721696,0.0415
4,400594.1646215618,0.0505
5,371447.4905175968,0.0655
6,362562.8273577191,0.0745
7,360836.3575574743,0.1027
8,359914.6626900875,0.1271
9,359384.1225000504,0.1389
10,359238.4376077396,0.1506
11,359181.6829222356,0.1623
12,359164.4346495494,0.1740
13,359000.4985652646,0.1831
14,358972.6811588781,0.1921
15,358960.7812666673,0.2039
16,358958.6664148613,0.2158
17,358952.3379015162,0.2329
18,358950.2447492291,0.2420
19,358949.6285744359,0.2536
20,358949.2844247076,0.2653
21,358948.9891458837,0.2770
22,358948.6985955550,0.2887
23,358948.4302310003,0.3004
24,358948.1646473925,0.3121
25,358947.9042210520,0.3238
26,358947.5867937841,0.3328
27,358947.2702974919,0.3418
28,358946.9799056801,0.3508
29,358946.6842276428,0.3598
30,358946.3703083087,0.3688
31,358946.0424945852,0.3778
32,358945.7290045973,0.3868
33,358945.4176402860,0.3958
