scene,capture_rep,camera_direction,repetitions,valid,cost_median,cost_min,cost_max,true_decrease_median,true_decrease_min,true_decrease_max,prediction_gn_median,prediction_gn_min,prediction_gn_max,prediction_hybrid_median,prediction_hybrid_min,prediction_hybrid_max,rho_gn_median,rho_gn_min,rho_gn_max,rho_hybrid_median,rho_hybrid_min,rho_hybrid_max,cost_delta_pct_vs_euclidean_median,cost_delta_pct_vs_euclidean_min,cost_delta_pct_vs_euclidean_max,cpu_total_seconds_median,cpu_total_seconds_min,cpu_total_seconds_max,point_equation_relative_residual_median,point_equation_relative_residual_min,point_equation_relative_residual_max,point_equation_whitened_relative_residual_median,point_equation_whitened_relative_residual_min,point_equation_whitened_relative_residual_max,maximum_point_normwise_backward_error_median,maximum_point_normwise_backward_error_min,maximum_point_normwise_backward_error_max,fallback_point_fraction,fallback_observation_fraction,raw_indefinite_point_fraction,hybrid_accepts,model_agreement_improved,large_moves_inward,large_moves_outward
venice-52,0,eta2,3,3,246358.47665047497,246358.47665047497,246358.47665047497,0.5479318239934798,0.5479318239934798,0.5479318239934798,0.6961311736808808,0.6961311736808808,0.6961311736808808,0.696743252354621,0.696743252354621,0.696743252354621,0.7871100228082326,0.7871100228082326,0.7871100228082326,0.7864185582591037,0.7864185582591037,0.7864185582591037,-3.7100019723013133e-07,-3.7100019723013133e-07,-3.7100019723013133e-07,1.475347856990993,1.3343236139044166,1.5247468403540552,7.190348946482445e-12,7.190348946482445e-12,7.190348946482445e-12,4.499910242355738e-14,4.499910242355738e-14,4.499910242355738e-14,1.4658978885806928e-16,1.4658978885806928e-16,1.4658978885806928e-16,0.0,0.0,1.56120712534932e-05,3,False,0,3
venice-52,0,exact_clip,3,3,246323.7375127506,246323.7375127506,246323.7375127506,35.28706954834455,35.28706954834455,35.28706954834455,36.148045781676736,36.148045781676736,36.148045781676736,36.863117516422136,36.863117516422136,36.863117516422136,0.9761819424891673,0.9761819424891673,0.9761819424891673,0.9572459391863568,0.9572459391863568,0.9572459391863568,9.04937218271229e-05,9.04937218271229e-05,9.04937218271229e-05,1.3007122571580112,1.2929179430939257,1.308717462234199,4.0974748916456306e-17,4.0974748916456306e-17,4.0974748916456306e-17,1.1659179427675138e-16,1.1659179427675138e-16,1.1659179427675138e-16,1.4468418773764755e-16,1.4468418773764755e-16,1.4468418773764755e-16,0.0,0.0,1.56120712534932e-05,3,False,0,3
venice-52,1,eta2,3,3,244946.81236120098,244946.81236120098,244946.81236120098,0.02669172547830101,0.02669172547830101,0.02669172547830101,0.07004944143669241,0.07004944143669241,0.07004944143669241,0.06989384079050215,0.06989384079050215,0.06989384079050215,0.38104123217633096,0.38104123217633096,0.38104123217633096,0.38188952240163826,0.38188952240163826,0.38188952240163826,1.317206121953518e-07,1.317206121953518e-07,1.317206121953518e-07,0.7891451492905617,0.78855034802109,1.2924338742159307,6.753002505418854e-14,6.753002505418854e-14,6.753002505418854e-14,6.944792281433309e-13,6.944792281433309e-13,6.944792281433309e-13,1.4761180126006445e-16,1.4761180126006445e-16,1.4761180126006445e-16,0.0,0.0,0.00010928449877445241,3,False,0,4
venice-52,1,exact_clip,3,3,244946.8045483353,244946.8045483353,244946.8045483353,0.03450459116865545,0.03450459116865545,0.03450459116865545,0.08093875919384205,0.08093875919384205,0.08093875919384205,0.08075470760781128,0.08075470760781128,0.08075470760781128,0.4263049188339993,0.4263049188339993,0.4263049188339993,0.42727652901956487,0.42727652901956487,0.42727652901956487,1.459821152849372e-07,1.459821152849372e-07,1.459821152849372e-07,0.777670853305608,0.7618493251502514,0.7915643500164151,4.08362533394504e-16,4.08362533394504e-16,4.08362533394504e-16,3.579798842965903e-15,3.579798842965903e-15,3.579798842965903e-15,1.530653590562783e-16,1.530653590562783e-16,1.530653590562783e-16,0.0,0.0,0.00010928449877445241,3,False,0,4
venice-52,2,eta2,3,3,246402.73749764875,246402.73749764875,246402.73749764875,0.9572380298317853,0.9572380298317853,0.9572380298317853,1.3517770065621986,1.3517770065621986,1.3517770065621986,1.35194312856245,1.35194312856245,1.35194312856245,0.7081330908758436,0.7081330908758436,0.7081330908758436,0.7080460779808371,0.7080460779808371,0.7080460779808371,-1.288466111581954e-07,-1.288466111581954e-07,-1.288466111581954e-07,0.782933265902102,0.7667733668349683,1.2191572058945894,1.0971832357502295e-11,1.0971832357502295e-11,1.0971832357502295e-11,6.499112032484128e-14,6.499112032484128e-14,6.499112032484128e-14,1.4681489236108272e-16,1.4681489236108272e-16,1.4681489236108272e-16,0.0,0.0,1.56120712534932e-05,3,False,0,4
venice-52,2,exact_clip,3,3,246402.39731411968,246402.39731411968,246402.39731411968,1.297421558890477,1.297421558890477,1.297421558890477,1.6383767986679734,1.6383767986679734,1.6383767986679734,1.6420739903519495,1.6420739903519495,1.6420739903519495,0.7918944896835096,0.7918944896835096,0.7918944896835096,0.7901115092946559,0.7901115092946559,0.7901115092946559,7.372038979269746e-07,7.372038979269746e-07,7.372038979269746e-07,1.2584081660024822,0.7694150391034782,1.3601384777575731,1.384369297850671e-16,1.384369297850671e-16,1.384369297850671e-16,2.034052414846871e-16,2.034052414846871e-16,2.034052414846871e-16,1.7688419158373506e-16,1.7688419158373506e-16,1.7688419158373506e-16,0.0,0.0,1.56120712534932e-05,3,False,0,4
final-3068,0,eta2,3,3,1831858.8176368922,1831858.8176368922,1831858.8176368922,0.20034965719059983,0.20034965719059983,0.20034965719059983,0.34187096204224526,0.34187096204224526,0.34187096204224526,0.34187070217535626,0.34187070217535626,0.34187070217535626,0.5860388258592213,0.5860388258592213,0.5860388258592213,0.5860392713261348,0.5860392713261348,0.5860392713261348,5.766498389903063e-11,5.766498389903063e-11,5.766498389903063e-11,4.128184766042978,4.10029840329662,4.148551817052066,1.4510458829847904e-16,1.4510458829847904e-16,1.4510458829847904e-16,1.1205406870899102e-16,1.1205406870899102e-16,1.1205406870899102e-16,1.9043188943883152e-16,1.9043188943883152e-16,1.9043188943883152e-16,0.0,0.0,0.00012546082726939335,3,False,0,0
final-3068,0,exact_clip,3,3,1831858.8176368943,1831858.8176368943,1831858.8176368943,0.20034965509057656,0.20034965509057656,0.20034965509057656,0.3418709620423065,0.3418709620423065,0.3418709620423065,0.3418707021754175,0.3418707021754175,0.3418707021754175,0.5860388197163797,0.5860388197163797,0.5860388197163797,0.5860392651832886,0.5860392651832886,0.5860392651832886,5.7753801741000643e-11,5.7753801741000643e-11,5.7753801741000643e-11,4.082889643963426,4.057713081594557,6.8017720389179885,1.4510449970784436e-16,1.4510449970784436e-16,1.4510449970784436e-16,1.1224596402618463e-16,1.1224596402618463e-16,1.1224596402618463e-16,1.926972645312539e-16,1.926972645312539e-16,1.926972645312539e-16,0.0,0.0,0.00012546082726939335,3,False,0,0
final-3068,5,eta2,3,3,1866060.1683649484,1866060.1683649484,1866060.1683649484,25.26767454669573,25.26767454669573,25.26767454669573,43.432420635921524,43.432420635921524,43.432420635921524,40.30769423076586,40.30769423076586,40.30769423076586,0.5817698893300381,0.5817698893300381,0.5817698893300381,0.6268697584643664,0.6268697584643664,0.6268697584643664,-0.0005358963439672237,-0.0005358963439672237,-0.0005358963439672237,4.005767014808953,3.9940445790998638,4.046820396091789,1.5567017171165384e-16,1.5567017171165384e-16,1.5567017171165384e-16,1.5371562414290503e-16,1.5371562414290503e-16,1.5371562414290503e-16,1.9497454464132478e-16,1.9497454464132478e-16,1.9497454464132478e-16,0.0,0.0,7.72066629350113e-05,3,True,0,0
final-3068,5,exact_clip,3,3,1866060.1603239507,1866060.1603239507,1866060.1603239507,25.27571554447661,25.27571554447661,25.27571554447661,43.4357613201018,43.4357613201018,43.4357613201018,40.31114852781009,40.31114852781009,40.31114852781009,0.5819102687807424,0.5819102687807424,0.5819102687807424,0.627015514753673,0.627015514753673,0.627015514753673,-0.0005357676481798634,-0.0005357676481798634,-0.0005357676481798634,4.006941415835172,3.9868022850714624,4.046219046227634,1.5567218656867367e-16,1.5567218656867367e-16,1.5567218656867367e-16,1.5625101537720357e-16,1.5625101537720357e-16,1.5625101537720357e-16,1.8419302722794725e-16,1.8419302722794725e-16,1.8419302722794725e-16,0.0,0.0,7.72066629350113e-05,3,True,0,0
