# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783514,0.0120
2,869806.2790742535,0.0244
3,567418.6040721697,0.0411
4,400594.1646215608,0.0502
5,371447.4905175043,0.0651
6,362562.8273578022,0.0741
7,360836.3574789807,0.1024
8,359914.0177539366,0.1269
9,359383.6710281224,0.1386
10,359237.9618767960,0.1502
11,359181.2140465293,0.1618
12,359163.9489728525,0.1735
13,359000.6692534561,0.1824
14,358972.6219323424,0.1914
15,358960.4848814260,0.2031
16,358958.3514153468,0.2149
17,358952.0108326534,0.2319
18,358949.8606919468,0.2409
19,358949.2425653076,0.2526
20,358948.8986094247,0.2643
21,358948.6037706599,0.2760
22,358948.3171655888,0.2876
23,358948.0438463718,0.2993
24,358947.7748825948,0.3109
25,358947.5086466599,0.3226
26,358947.1952174550,0.3367
27,358946.8810638296,0.3457
28,358946.6345784765,0.3547
29,358946.3220630599,0.3637
30,358946.0117928130,0.3727
31,358945.6985282528,0.3816
32,358945.3852549338,0.3906
33,358945.0730575048,0.3996
