# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783519,0.0121
2,869806.2790742528,0.0245
3,567418.6040721684,0.0413
4,400594.1646215603,0.0502
5,371447.4905173681,0.0653
6,362562.8273451809,0.0743
7,360836.3599396537,0.1025
8,359914.5041080854,0.1269
9,359383.9182541222,0.1386
10,359238.1462989646,0.1502
11,359181.3921170497,0.1619
12,359164.1215109437,0.1735
13,359001.0744411428,0.1825
14,358972.7761778609,0.1915
15,358960.5219005072,0.2032
16,358958.3489981779,0.2152
17,358951.9687032069,0.2322
18,358949.7928430140,0.2411
19,358949.1737461060,0.2528
20,358948.8298191375,0.2645
21,358948.5346895148,0.2762
22,358948.2497243915,0.2879
23,358948.0054466441,0.2995
24,358947.7043497210,0.3085
25,358947.4215327278,0.3175
26,358947.2358279846,0.3367
27,358947.1758997993,0.3456
28,358947.0628875176,0.3546
29,358946.8596753259,0.3636
30,358946.5451247342,0.3726
31,358946.2309661712,0.3815
32,358945.9172149838,0.3904
33,358945.6038715084,0.3994
