# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783444,0.0120
2,869806.2790742537,0.0245
3,567418.6040721693,0.0412
4,400594.1646215617,0.0502
5,371447.4905175861,0.0652
6,362562.8273577722,0.0742
7,360836.3574805176,0.1025
8,359914.4217068569,0.1269
9,359383.8583438937,0.1386
10,359238.0985493003,0.1503
11,359181.3415786208,0.1620
12,359164.0901968043,0.1736
13,358998.7623865989,0.1827
14,358972.5198489485,0.1917
15,358960.4633090586,0.2034
16,358958.3304438756,0.2152
17,358951.9829424666,0.2322
18,358949.8205111776,0.2413
19,358949.1924876027,0.2530
20,358948.8468307926,0.2647
21,358948.5511180711,0.2764
22,358948.2659219172,0.2881
23,358947.9944010140,0.2997
24,358947.7375521096,0.3114
25,358947.4302278092,0.3204
26,358947.1166984045,0.3294
27,358946.7906899452,0.3384
28,358946.5173073824,0.3473
29,358946.1970237350,0.3563
30,358945.8785560629,0.3653
31,358945.6944751572,0.3744
32,358945.3818480844,0.3833
33,358945.1874775969,0.3923
