# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783463,0.0119
2,869806.2790742528,0.0244
3,567418.6040721693,0.0411
4,400594.1646215610,0.0501
5,371447.4905176507,0.0651
6,362562.8273440952,0.0741
7,360836.3584568708,0.1024
8,359915.0167395776,0.1268
9,359384.1947701078,0.1385
10,359238.3669844004,0.1501
11,359181.5951627387,0.1618
12,359164.3196107207,0.1735
13,359000.9161399516,0.1825
14,358972.6366673841,0.1915
15,358960.4429997496,0.2031
16,358958.2756020242,0.2151
17,358951.9021276431,0.2321
18,358949.7551336023,0.2411
19,358949.1369189921,0.2528
20,358948.7925459048,0.2645
21,358948.4975151945,0.2763
22,358948.2131050735,0.2880
23,358947.9377673418,0.2997
24,358947.6728583133,0.3114
25,358947.4131100536,0.3231
26,358947.1008909722,0.3321
27,358946.7859882563,0.3412
28,358946.4712092594,0.3502
29,358946.1563067277,0.3592
30,358945.8391700626,0.3682
31,358945.5256688372,0.3772
32,358945.2338503575,0.3862
33,358944.9215232554,0.3952
