# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783500,0.0121
2,869806.2790742539,0.0246
3,567418.6040721691,0.0412
4,400594.1646215621,0.0501
5,371447.4905175007,0.0651
6,362562.8273576099,0.0741
7,360836.3575004791,0.1024
8,359914.5094667795,0.1268
9,359384.0803389652,0.1385
10,359238.4123363767,0.1501
11,359181.6633969093,0.1618
12,359164.4159533741,0.1735
13,358997.6819248446,0.1825
14,358972.5462282168,0.1915
15,358960.8075207134,0.2032
16,358958.7008849077,0.2150
17,358952.4498240093,0.2320
18,358950.3216061462,0.2410
19,358949.7072526172,0.2526
20,358949.3638400047,0.2643
21,358949.0684637140,0.2760
22,358948.7827500871,0.2876
23,358948.5343960179,0.2993
24,358948.1655648446,0.3110
25,358947.8397323052,0.3227
26,358947.5150293084,0.3316
27,358947.4534754861,0.3508
28,358947.3939606498,0.3598
29,358947.2807956467,0.3688
30,358947.0773942377,0.3778
31,358946.7629387444,0.3868
32,358946.4488425713,0.3958
33,358946.1351982042,0.4048
