# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783505,0.0130
2,869806.2790742542,0.0268
3,567418.6040721684,0.0455
4,400594.1646215608,0.0556
5,371447.4905174796,0.0724
6,362562.8273450159,0.0825
7,360836.3599101235,0.1143
8,359915.3847460665,0.1417
9,359384.4737822894,0.1549
10,359238.6785433044,0.1680
11,359181.9024935401,0.1811
12,359164.6515287609,0.1933
13,358999.9400249945,0.2023
14,358972.8688323956,0.2113
15,358960.7341528650,0.2231
16,358958.5664869443,0.2349
17,358952.2511769617,0.2519
18,358950.0581950517,0.2608
19,358949.4376649813,0.2724
20,358949.0926534806,0.2841
21,358948.7976126866,0.2958
22,358948.5117944434,0.3075
23,358948.2415794045,0.3192
24,358947.9763541479,0.3308
25,358947.7147963858,0.3425
26,358947.3948437268,0.3565
27,358947.0742989802,0.3655
28,358946.7577762169,0.3744
29,358946.4431841309,0.3834
30,358946.1303877928,0.3924
31,358945.8188680747,0.4013
32,358945.5080689534,0.4103
33,358945.1914975513,0.4192
