# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357430,0.0000
1,2170136.3176783514,0.0133
2,869806.2790742526,0.0272
3,567418.6040721693,0.0460
4,400594.1646215623,0.0561
5,371447.4905175808,0.0729
6,362562.8273436661,0.0830
7,360836.3565861208,0.1147
8,359915.1187194820,0.1423
9,359384.4646610390,0.1555
10,359238.7381736769,0.1687
11,359181.9801636444,0.1806
12,359164.7179052850,0.1924
13,359000.9766826176,0.2014
14,358972.9445742241,0.2105
15,358960.9717545739,0.2223
16,358958.8353267098,0.2342
17,358952.5595080896,0.2513
18,358950.3661394087,0.2604
19,358949.7567686451,0.2722
20,358949.4140684340,0.2840
21,358949.1190960917,0.2957
22,358948.8331248035,0.3074
23,358948.5607514646,0.3192
24,358948.2968681272,0.3309
25,358948.0360760572,0.3427
26,358947.7184288900,0.3569
27,358947.4066489658,0.3659
28,358947.0866820041,0.3749
29,358946.7733483459,0.3840
30,358946.4570606413,0.3930
31,358946.1444304360,0.4020
32,358945.8380121130,0.4110
33,358945.5260771485,0.4201
