# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2128625.3027072623,0.0123
2,813550.8817977775,0.0248
3,518986.7473612832,0.0389
4,388998.8395168980,0.0479
5,369867.6910953645,0.0700
6,365289.3409473551,0.0844
7,363945.0380485211,0.1007
8,361977.1569967737,0.1261
9,361300.4567907678,0.1351
10,361240.2054321914,0.1469
11,360686.4546246498,0.1559
12,360679.7847057933,0.1677
13,360554.2907772815,0.1767
14,360542.0069800418,0.1858
15,360535.1718902898,0.1948
16,360400.9436797931,0.2039
17,359876.4483531855,0.2182
18,359845.1390565136,0.2302
19,359832.1906127965,0.2421
20,359828.3761561143,0.2512
21,359825.0074455556,0.2603
22,359823.0534731013,0.2743
23,359822.0891716882,0.2833
24,359821.1371846052,0.2924
25,359820.1970243981,0.3014
26,359819.2680514257,0.3104
27,359818.3497647506,0.3194
28,359817.4417458929,0.3285
29,359816.5436290830,0.3375
30,359815.6550840405,0.3465
31,359814.7758053216,0.3556
32,359813.9055063835,0.3646
33,359813.0439140502,0.3737
34,359812.1907664420,0.3827
35,359811.3458104966,0.3917
36,359810.5087999934,0.4008
