# algo=mfree_shifted_cg problem=/workspace/bal/final-4585.txt
iter,cost,wall_s
0,602872963.4893308878,0.0000
1,34818548.0048702955,0.1937
2,14580801.3346816693,0.4625
3,11930814.5334043540,0.8912
4,9235229.9630037658,1.1415
5,7848797.5981610380,1.4025
6,7396334.8205522271,1.6784
7,7390126.5335837668,1.9501
8,7293681.3465187941,2.2168
9,7200934.5284917252,2.6045
10,7182048.1272262717,2.9823
11,7158367.0016635004,3.3918
12,7146171.5895605674,3.7102
13,7145667.4754306283,4.0133
14,7132957.8338715779,4.4684
15,7123089.1506415438,4.8469
16,7115691.6746544568,5.2403
17,7111914.3289004108,6.1901
18,7110053.6290749041,6.4882
19,7109039.6911412207,6.7766
20,7099600.1769008730,7.0940
21,7098888.0709185973,7.4827
22,7098000.8096323973,8.3893
23,7086394.3026483096,8.6763
24,7085674.4256241545,8.9798
25,7085337.6547850994,9.2583
26,7065162.2592961872,9.8041
27,7060166.3607024811,9.9963
28,7059010.6022413773,10.2878
29,7056122.5395229738,10.4808
30,7055596.7858497221,10.6728
31,7055118.7665154431,10.8647
32,7054171.0403812341,11.0565
33,7053955.5108776176,11.2484
34,7053498.2013142258,11.4418
35,7052772.5689637028,11.6918
36,7052382.0423049396,11.9527
37,7052193.8011570685,12.2243
38,7052123.5049778726,12.4963
39,7051924.2339615664,12.7517
40,7051797.0227981806,13.0233
41,7051667.3515286576,13.2953
42,7051639.0403419072,13.5831
43,7051623.7615916329,13.8711
44,7051595.8673363887,14.1604
45,7051527.4333724221,14.4483
46,7051303.9018023135,14.7664
47,7050826.0286448440,15.1013
48,7050430.3694896288,15.4347
49,7050377.4062115699,15.7997
50,7050354.0669591473,16.1944
51,7050331.5532989874,16.5888
52,7050305.0469125174,16.9831
53,7050254.7802430382,17.5164
54,7050159.0773528041,17.9116
55,7049968.6140219802,18.3058
56,7049589.3508334979,18.7003
57,7048815.6050278507,19.1093
58,7047300.0631663939,19.5186
59,7044429.7208561320,19.9133
60,7039027.5739038838,20.3238
61,7030176.6590144075,20.7183
62,7018997.2842578199,21.1125
63,7018402.9356907466,21.4462
64,7015477.2869324517,21.8502
65,7014631.2052071020,22.2600
66,7012580.0148550188,22.6501
67,7000399.6073467815,23.3780
68,6992253.6905842377,23.6965
69,6988290.0184651753,24.6181
70,6986073.6129910303,25.0019
71,6983526.4958216771,25.4057
72,6981943.3360907314,25.8001
73,6980804.0911664655,26.0878
74,6978209.0028797081,26.3756
75,6973290.5672115376,26.6657
76,6971284.9199372772,27.2102
77,6967843.8162582200,28.0623
78,6962685.8778444435,28.8937
79,6962633.9831309719,29.2435
80,6959813.9258194081,29.7723
81,6959208.5801723655,30.0905
82,6958283.6139783654,30.4339
83,6957870.2773179319,30.7219
84,6957554.1286787717,31.0099
85,6957220.7666968787,31.2977
86,6956854.0936061544,31.5857
87,6956383.8631583927,31.8735
88,6955622.9252101015,32.1614
89,6954201.3511957349,32.4493
90,6952724.1808752865,32.7525
91,6952100.1384499902,33.0554
92,6951487.0600682050,33.5848
93,6951207.1287001697,34.3823
94,6950997.9691655328,34.6702
95,6950178.9980697371,34.9581
96,6948894.4559718482,35.2459
97,6947352.2538329791,36.3502
98,6946975.0719885686,36.6988
99,6945858.9544741819,37.1777
100,6944667.1878612535,37.6511
101,6941944.5796022490,38.1291
102,6937584.3714771066,38.5863
103,6936213.5679462356,38.8993
104,6935548.3306511883,39.1872
105,6935457.5329904826,39.4752
106,6935412.5725536216,39.7637
107,6935315.0823380733,40.0515
108,6935284.3728967952,40.3395
109,6934197.2086322242,41.4112
110,6934189.5125733018,41.6992
111,6934183.5969089111,41.9883
112,6934179.9629134769,42.2762
113,6934177.3967799759,42.5641
114,6934174.2243490154,42.8521
115,6934170.0133614670,43.1399
116,6934166.4147684388,43.4281
117,6934162.8075374123,43.7158
118,6912524.4127954654,44.5051
119,6904019.8433922641,44.7624
120,6902875.1497171335,45.1982
121,6902642.7060581697,45.4714
122,6902541.3341857791,45.7222
123,6902500.7856426276,45.9139
124,6902418.2952608559,46.1056
125,6902380.9867368611,46.2985
126,6902240.0918054860,46.4906
127,6901770.1514228983,46.6828
128,6901660.3514397489,46.9500
129,6901593.9515855620,47.2235
130,6901514.7989236349,47.4744
131,6901450.5925023872,47.7361
132,6901388.3723687911,47.9290
133,6901366.1200091988,48.1208
134,6901280.8102019653,48.3126
135,6900985.2436647564,48.5044
136,6900931.7849251619,48.7605
137,6900840.4145466266,49.0115
138,6900800.4165685214,49.2031
139,6900735.8159549478,49.3950
140,6900721.9233683711,49.5871
141,6900669.2064832188,49.7803
142,6900484.1027559256,49.9724
143,6900399.2159189051,50.2343
144,6900384.5647933930,50.5186
145,6900383.9242483070,50.8070
146,6900383.5796362124,51.0956
147,6900383.2642755769,51.3843
148,6900382.9489727914,51.6747
149,6900382.6397203989,51.9634
150,6900382.3268349674,52.2521
151,6900382.0184464753,52.5409
152,6900370.4560192656,53.0315
153,6900345.8873382630,53.2231
154,6900338.1818003235,53.5159
155,6900314.2493382525,53.7076
156,6900262.1757470826,53.8992
157,6900225.3653122131,54.1906
158,6900214.7781011891,54.3822
159,6900194.8445128119,54.5735
