# algo=mfree_shifted_cg problem=/workspace/bal/final-4585.txt
iter,cost,wall_s
0,602872963.4893307686,0.0000
1,35287179.2987945825,0.1937
2,14729574.5996683557,0.4610
3,11607674.0370697137,0.9047
4,9121564.1538262814,1.1544
5,8104502.9665766833,1.4440
6,7711589.2317648120,1.7202
7,7622997.8040104862,1.9812
8,7470997.9300326295,2.2571
9,7405736.6963011120,2.5179
10,7378534.8701699451,2.7958
11,7374585.8319357913,3.1098
12,7372348.5959574636,3.4285
13,7161915.3348097168,3.8077
14,7143142.2686847020,4.0795
15,7096711.9041007776,4.5641
16,7065894.7831845023,4.8817
17,7062268.6325686304,5.2857
18,7051274.8753872570,5.6488
19,7047930.7189971805,6.4042
20,7034571.6765346471,6.7425
21,7029844.6526124580,7.2049
22,7007029.1379426578,7.4716
23,6984695.5399692692,7.7529
24,6982462.1977351382,8.0760
25,6979943.6905643530,8.3739
26,6979301.2362232795,8.6717
27,6978299.1665978683,9.0555
28,6974915.8298901329,9.5279
29,6974268.4879237199,9.8158
30,6973986.5136907268,10.3150
31,6971783.2635001820,10.5867
32,6970945.1556901475,10.8692
33,6968906.2013894282,11.1353
34,6965922.4132360844,11.4268
35,6958323.5560053075,11.6201
36,6950461.0072764056,11.8118
37,6949310.4126724983,12.0633
38,6949071.1850967882,12.3311
39,6948812.8687623451,12.6093
40,6948444.5125618326,12.8647
41,6947938.3750553653,13.0564
42,6947584.2457785169,13.2491
43,6947480.3121639900,13.4421
44,6947384.1383430911,13.6343
45,6947148.6305573741,13.8274
46,6946993.9986632131,14.0197
47,6946910.9968455303,14.2116
48,6946854.9497896787,14.4034
49,6946714.4324050881,14.5963
50,6946579.0555136707,14.7884
51,6946481.8976407107,14.9804
52,6946447.3555685012,15.2720
53,6946356.8721604645,15.4647
54,6946232.2488358133,15.6567
55,6946131.1549762879,15.8490
56,6946071.3609791892,16.0407
57,6946030.6128546437,16.2325
58,6945933.0784460604,16.4243
59,6945832.0494613247,16.6179
60,6945754.6480302513,16.8099
61,6945732.1770380354,17.1021
62,6945673.5698786872,17.2942
63,6945578.8594164466,17.4876
64,6945558.3108947389,17.7379
65,6945505.8765727412,17.9989
66,6945442.0081841731,18.2775
67,6945401.5117209256,18.5660
68,6945312.6045243563,18.8545
69,6945202.4688935680,19.1431
70,6945138.9083630107,19.4311
71,6945083.1230514813,19.7195
72,6945036.9453451158,20.0077
73,6944995.8297725972,20.2955
74,6944924.1996203912,20.5834
75,6944822.2244962491,20.8711
76,6944705.7048361823,21.1603
77,6944626.3732131477,21.4483
78,6944598.3801589068,21.7363
79,6944566.1002468066,22.0242
80,6944518.2120837299,22.3124
81,6944427.8187743947,22.6006
82,6944253.0554276453,22.8893
83,6943918.4406488668,23.1770
84,6943032.2276390409,23.5417
85,6940764.6138966912,23.9371
86,6935520.3140345579,24.3934
87,6925595.9773860723,24.8799
88,6918322.6222909736,25.3350
89,6917368.9809210161,25.8798
90,6907762.6439829981,26.7032
91,6907160.2105311966,26.9861
92,6903026.1390064759,27.2742
93,6901042.5912708770,27.7475
94,6899911.8149685236,28.0359
95,6897875.5159139670,28.5089
96,6897658.4583402742,28.8086
97,6897286.7017686293,29.3029
98,6897192.6442965372,29.6371
99,6896948.4913658574,30.2377
100,6886645.9995486168,30.4990
101,6881710.3735668138,30.7652
102,6881146.0647776155,31.0636
103,6880852.0302262632,31.4287
104,6880463.9388397001,31.7789
105,6880104.6169337668,32.1291
106,6879814.1009785803,32.4781
107,6879571.9406689536,32.8275
108,6879357.1116930060,33.1762
109,6879082.3035953827,33.5403
110,6878580.9908131622,33.9047
111,6877724.8757672524,34.2686
112,6876592.0439385595,34.6326
113,6874518.0174515033,35.6482
114,6873551.9047821630,36.2940
115,6871365.2359601371,36.7730
116,6871302.1810372565,37.1082
117,6871093.0166895594,37.6787
118,6870925.6986918692,38.1879
119,6870705.9814778157,38.5670
120,6870570.6044504326,39.0775
121,6870415.0516002299,39.4564
122,6870246.7235231418,39.9820
123,6870001.6300759157,40.3783
124,6869876.1159405587,40.9029
125,6869661.6189524028,41.2972
126,6869426.9660362471,41.8373
127,6869200.0231643906,42.2319
128,6868996.3651561700,42.7726
129,6868849.9403131073,43.1671
130,6868672.7033525435,43.7068
131,6868558.4589916226,44.1010
132,6868407.7353872107,44.6407
133,6868324.3121044543,45.0364
134,6868198.9643463725,45.6369
135,6868145.2070338605,46.0312
136,6868044.2599642444,46.6320
137,6868018.9424223276,47.0266
138,6867428.8853474651,47.8429
139,6867263.7349145114,48.1319
140,6867250.8711432517,48.4960
141,6867213.9355671946,48.9363
142,6867190.4274953036,49.5436
143,6867030.1165946005,50.3501
144,6866760.0273751188,50.9161
145,6866716.0659744302,51.2040
146,6866683.9005737985,51.4920
147,6866659.6963654868,51.7799
148,6861070.0177456085,52.6148
149,6740187.8725939458,52.9029
150,6710146.9015744459,53.1906
151,6709675.1440032674,53.4790
152,6709664.4702358367,53.7669
153,6709318.3320949413,54.2371
154,6708633.2071855562,54.7074
155,6707286.7159778075,55.1781
156,6704687.2979824189,55.6484
157,6702943.8811275549,56.4449
158,6701946.1377082076,57.0302
159,6700376.8619780177,57.4549
160,6698302.4802094232,57.8953
161,6695650.0357391676,58.3657
162,6692553.4371020012,58.8509
163,6688734.1751355072,59.3681
164,6682065.8554382110,59.8839
