# algo=mfree_shifted_cg problem=/tmp/prism-speed-novelty/inputs/ladybug-539.txt
iter,cost,wall_s
0,5535080.1182407308,0.0000
1,433255.1744281726,0.0097
2,221889.1615743965,0.0185
3,185120.8914504435,0.0336
4,172235.0193787924,0.0400
5,167746.1192623159,0.0472
6,165514.0826131163,0.0594
7,165200.2673871299,0.0700
8,164853.7784992845,0.0776
9,164531.7959416046,0.0866
10,164431.9793764098,0.0936
11,164241.5962674708,0.1185
12,164178.8244058489,0.1249
13,164107.7324462411,0.2043
14,164074.6136718032,0.2829
15,163997.3941003823,0.2894
16,163985.5641454173,0.3685
17,163984.9373430636,0.3854
18,163982.2550364080,0.4673
19,163981.4623582351,0.5492
20,163979.9892846890,0.6285
21,163978.3646128268,0.7077
22,163978.2810705051,0.7385
23,163978.0177359550,0.8171
24,163977.9767178368,0.8908
25,163977.9743460707,0.9128
26,163977.9653866429,0.9920
27,163977.9647681542,1.0067
28,163977.9627461722,1.0860
29,163977.9626624142,1.0959
30,163977.9612806432,1.1748
31,163977.9604121295,1.2389
32,163977.9592556934,1.3181
33,163977.9588759507,1.3412
34,163977.9584920784,1.4020
