# algo=mfree_shifted_cg problem=/tmp/prism-speed-novelty/inputs/ladybug-539.txt
iter,cost,wall_s
0,5535080.1182407327,0.0000
1,430090.3115010785,0.0096
2,221503.4155335505,0.0184
3,184746.8232952858,0.0341
4,171925.1047491593,0.0404
5,167746.1797862803,0.0475
6,165514.9377413560,0.0596
7,165206.7807348174,0.0700
8,164833.9803814791,0.0776
9,164528.2665856376,0.0866
10,164428.1283205851,0.0936
11,164242.4906166414,0.1178
12,164180.8417914670,0.1243
13,164101.9458264471,0.2033
14,164085.6323930434,0.2818
15,164057.0642293174,0.2882
16,164045.0162782321,0.3672
17,164004.2334288313,0.3754
18,163998.5690093894,0.3875
19,163984.6031752308,0.4693
20,163983.7591688829,0.5483
21,163983.0714865319,0.6274
22,163982.5080381242,0.7064
23,163981.9796292531,0.7853
24,163981.5179503162,0.8643
25,163981.1583692848,0.9465
26,163980.9891865479,1.0255
27,163980.4419949943,1.1045
28,163979.7721536732,1.2590
29,163979.7557135609,1.3381
30,163979.7246801378,1.4171
31,163979.6633425661,1.4958
32,163979.5435420876,1.5749
33,163979.3157176240,1.6568
34,163978.9083246701,1.7358
35,163978.2997404429,1.8111
