# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322530,0.0383
2,3723398.1420860011,0.0837
3,2649101.3772306521,0.1435
4,2222822.2595842644,0.1773
5,2043410.2400794842,0.2271
6,2002344.4389402017,0.2959
7,1973517.3886768131,0.3579
8,1973022.7892332803,0.4094
9,1972244.6499673282,0.4610
10,1971800.9894884177,0.5125
11,1955810.6449812194,0.5641
12,1955114.8607114460,0.6156
13,1953186.1933525971,0.7065
14,1952207.9802593300,0.7630
15,1951510.4273481967,0.8155
16,1950888.8340626752,0.8680
17,1950203.7300682783,0.9195
18,1949558.9398244924,0.9710
19,1949201.7896070760,1.0619
20,1948909.8061091399,1.1153
21,1948631.0905585361,1.1678
22,1948350.7958822469,1.2203
23,1947957.9188463832,1.2727
24,1947830.4640684074,1.3262
25,1947672.8933691129,1.3797
26,1947502.4010894101,1.4332
27,1947326.8812691958,1.4856
28,1947044.2671163790,1.5382
29,1946327.5314752618,1.6053
30,1945106.7534994085,1.6588
31,1933941.9606824284,1.7131
32,1888115.6795868580,1.7598
33,1886503.5779556879,1.8104
34,1884441.8479785274,1.8609
35,1880403.8268946172,1.9115
36,1872768.0731017415,1.9622
37,1865647.5680710694,2.0174
38,1864607.3014252151,2.0661
39,1863805.9062595528,2.1147
40,1863167.9131218798,2.1633
41,1862641.4661017044,2.2119
42,1862184.4579450879,2.2607
43,1852394.1850670890,2.2945
44,1851482.5454092238,2.3421
45,1851189.6992602434,2.3898
46,1850884.5360587204,2.4374
47,1850542.7284503060,2.4852
48,1850153.2079005693,2.5328
49,1849712.2059740117,2.5805
50,1849220.3173512381,2.6281
51,1846305.4181032886,2.6926
52,1840305.7606119753,2.7494
53,1831929.6013879944,2.8148
54,1817948.8162091274,2.8803
55,1809750.3581632937,2.9711
56,1796945.2325664931,3.0639
57,1786081.4989757948,3.1510
58,1781165.1728167681,3.2102
59,1775053.3252552440,3.2684
60,1773210.2676772426,3.3151
61,1763262.7759242652,3.3488
62,1752377.4976135392,3.7582
63,1742120.8077632906,3.8812
