# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7894889.5857997891,0.0393
2,3597172.3976777415,0.0887
3,2649780.6381300869,0.1542
4,2582994.1381951477,0.1877
5,2292222.2320190286,0.2213
6,2056908.5347285501,0.3268
7,2015540.9086469931,0.3791
8,1940112.3844472978,0.4408
9,1921494.3634028037,0.5044
10,1884636.3919779493,0.5510
11,1858388.6325725268,0.6640
12,1845093.1630278970,0.7889
13,1831402.8336578342,0.8433
14,1823978.5021168750,0.9303
15,1807669.3036156648,1.1153
16,1803585.4672034392,1.1794
17,1796483.3337170095,1.3049
18,1796475.7982525441,1.5774
19,1796467.9798827942,1.6981
20,1796422.3145151332,1.7320
21,1796420.7218235696,1.7816
22,1796417.2426361789,1.8601
23,1796392.0099633194,1.8939
24,1796359.0627192047,1.9276
25,1796338.7911549436,1.9743
26,1796044.1933192040,2.0239
27,1795927.0297162367,2.0754
28,1795919.3284024722,2.1288
29,1795909.9668055456,2.2514
30,1795909.9075024708,2.3039
31,1795909.8523992803,2.3574
32,1795907.3148129368,2.4070
33,1795900.2824684002,2.4577
34,1795885.9766372766,2.5103
35,1795885.8523886376,2.5983
36,1795885.7918915811,2.6851
37,1795885.7684877058,2.7364
38,1795885.7679327740,2.8234
39,1795885.7678241034,2.8750
40,1795885.7677182120,2.9088
41,1795885.7676059618,2.9426
42,1795885.7675099708,2.9764
43,1795885.7673779719,3.0101
