# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776601,0.0121
2,1506203.5600746712,0.0247
3,1127133.1806397077,0.0392
4,820037.3684094262,0.0527
5,497540.1090273408,0.0690
6,373473.4894716493,0.0862
7,312813.0375700209,0.1123
8,285659.2412719225,0.1285
9,271070.8044187198,0.1405
10,265559.8903024929,0.1534
11,262360.0062699143,0.1661
12,258725.2829799107,0.1777
13,257433.2254264308,0.1894
14,255129.1447595110,0.1983
15,253913.3277672747,0.2073
16,253203.9645966067,0.2163
17,252795.9314663970,0.2252
18,252186.3851251949,0.2342
19,251721.0546519450,0.2432
20,251342.3550116470,0.2521
21,251032.7423314141,0.2610
22,250775.3258274357,0.2699
23,250558.2030640547,0.2789
24,250372.7641910596,0.2879
25,250212.6248376817,0.2968
26,250072.9314770929,0.3057
27,249949.9076558244,0.3146
28,249840.7101297926,0.3236
29,249743.1189973252,0.3325
30,249358.6559717718,0.3415
31,249197.4884105376,0.3504
32,249057.5404013714,0.3594
33,248935.1042858000,0.3684
34,248826.7902179285,0.3773
35,248729.9577588123,0.3863
36,248642.5395704094,0.3952
37,248562.9063389690,0.4042
38,248419.7671857947,0.4140
39,248405.3959815713,0.4266
40,248402.0452846202,0.4393
41,248377.6200092224,0.4483
42,248354.7263525923,0.4572
43,248332.4748769978,0.4661
44,248310.8258570574,0.4751
45,248289.7429592238,0.4840
46,248269.1921396518,0.4930
47,248249.1415984078,0.5019
48,248229.5614619993,0.5108
49,248210.4237796738,0.5198
50,248175.1275955084,0.5297
51,248168.6946711474,0.5422
52,248161.9059419693,0.5600
53,248155.2313363799,0.5690
54,248147.0592862069,0.5788
55,248139.1532978503,0.5887
56,248125.0948086778,0.5986
57,248121.9777019037,0.6085
58,248119.7156889305,0.6183
59,248108.7562098781,0.6273
60,248101.2840112989,0.6362
61,248094.3642080416,0.6461
62,248065.0466214890,0.6560
63,248058.7059751890,0.6659
64,248054.2445102390,0.6757
65,248050.0464437811,0.6856
66,248046.0667957977,0.6955
67,248042.2979101160,0.7054
68,248038.7317979632,0.7153
69,248022.2405786884,0.7242
70,248012.4324321803,0.7331
71,248008.9125027785,0.7430
72,247992.3318670861,0.7519
73,247982.6917529784,0.7609
74,247979.1788142034,0.7708
75,247962.5305347573,0.7797
76,247953.0597374727,0.7887
77,247949.5328042844,0.7985
78,247946.6747649676,0.8074
79,247929.4987814427,0.8164
80,247920.0316815577,0.8253
81,247916.3950486329,0.8352
82,247913.9583472295,0.8441
83,247896.2809703744,0.8530
84,247886.8129933609,0.8620
85,247884.7240903744,0.8709
86,247867.2443986799,0.8799
87,247858.0313383569,0.8888
88,247853.8251582918,0.8986
89,247852.0584510679,0.9076
90,247834.1161868996,0.9165
91,247824.8902329559,0.9255
92,247823.4058224773,0.9344
93,247805.7149942912,0.9433
94,247796.7395030616,0.9523
95,247791.6877706849,0.9622
96,247790.4573122228,0.9711
97,247772.3578250844,0.9801
98,247763.3656656801,0.9890
99,247757.7659473310,0.9989
100,247739.9194343901,1.0131
101,247731.1640084174,1.0220
102,247725.1864222087,1.0319
103,247707.6059663754,1.0461
104,247699.0859914410,1.0551
105,247692.6730779375,1.0650
106,247675.3777048452,1.0792
107,247667.0910280604,1.0881
108,247660.1828088496,1.0980
109,247643.1908424151,1.1122
110,247635.1355879881,1.1212
111,247627.6677343265,1.1311
112,247610.9971192010,1.1453
113,247566.8981252466,1.1552
114,247565.0045012980,1.1668
115,247564.5974687614,1.1793
116,247562.5444700648,1.1883
117,247560.6951050725,1.1982
118,247559.9237650450,1.2071
119,247559.1539174353,1.2161
120,247558.3853571861,1.2250
121,247557.6175773373,1.2339
122,247556.8501940225,1.2429
123,247556.0828089401,1.2518
124,247555.3150282061,1.2607
125,247554.5464701866,1.2697
126,247553.7767382697,1.2786
127,247553.0054482663,1.2875
128,247552.2321930106,1.2965
129,247551.4565931847,1.3054
