# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2217754.6356308647,0.0119
2,1480027.1295209259,0.0245
3,1124010.2911014692,0.0409
4,818764.7439525850,0.0544
5,492556.9560301389,0.0736
6,370854.8735743565,0.0908
7,332664.8727206196,0.1073
8,325609.3960812611,0.1235
9,288332.4621017703,0.1350
10,282907.6760891674,0.1471
11,281649.9771634812,0.1586
12,275051.4963577419,0.1676
13,272534.8685678128,0.1765
14,270968.8110343661,0.1855
15,269786.2673037019,0.1944
16,268836.0165751816,0.2033
17,268020.7916063718,0.2123
18,267224.7318976219,0.2211
19,266503.3758707311,0.2301
20,265827.4289719774,0.2391
21,262775.2643118270,0.2489
22,261989.6397678857,0.2633
23,261959.7080139697,0.2754
24,261911.6854984477,0.2887
25,261856.4429807823,0.3017
26,261840.9392755529,0.3137
27,261758.4225613764,0.3253
28,261735.3558715010,0.3369
29,261693.8232023647,0.3538
30,261663.6807732489,0.3680
31,261647.1101348270,0.3770
32,261640.3599369515,0.3859
33,261629.8136427094,0.3948
34,261619.4802184733,0.4038
35,261615.1496181510,0.4127
36,261610.9407423512,0.4216
37,261606.7288260034,0.4306
38,261602.6599811082,0.4395
39,261598.7641761735,0.4485
40,261594.9709805802,0.4575
41,261591.2639009420,0.4664
42,261587.6402087835,0.4753
43,261584.0986039612,0.4843
44,261580.6378910920,0.4932
45,261577.2569015495,0.5021
46,261573.9544880365,0.5111
47,261570.7295250367,0.5200
48,261567.5809075841,0.5289
49,261564.5075501062,0.5379
50,261561.5083868772,0.5468
51,261558.5823709102,0.5557
52,261555.7284732366,0.5647
53,261552.9456829898,0.5736
54,261550.2330067581,0.5826
55,261547.5894679370,0.5915
56,261545.0141063333,0.6004
57,261542.5059781215,0.6093
58,261540.0641545170,0.6183
59,261537.6877224357,0.6272
60,261535.3757835636,0.6362
61,261533.1274539122,0.6451
62,261530.9418638821,0.6541
63,261528.8181572810,0.6630
64,261526.7554912673,0.6720
65,261524.7530360505,0.6809
66,261522.8099747613,0.6898
67,261520.9255025450,0.6987
68,261519.0988268263,0.7077
69,261517.3291663585,0.7166
70,261515.6157521829,0.7255
71,261513.9578249180,0.7345
