# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322548,0.0393
2,3723398.1420859941,0.0871
3,2649101.3772306023,0.1466
4,2222822.2595813870,0.1804
5,2043410.2413988651,0.2299
6,2002347.8577182963,0.2987
7,1978561.9823919518,0.3618
8,1972818.8244253551,0.4480
9,1971152.4772626485,0.5061
10,1939064.8831041262,0.5633
11,1924926.6434413712,0.6147
12,1919710.7621386983,0.6634
13,1913615.9891655527,0.7475
14,1903024.3204484824,0.8096
15,1901395.8881115469,0.8687
16,1897260.1361704648,0.9768
17,1891046.1426859226,1.0417
18,1888187.6423300190,1.1055
19,1887890.6116590663,1.1581
20,1883173.8299896971,1.2863
21,1881509.8668207661,1.3389
22,1879993.4991571337,1.3904
23,1878615.4397825915,1.4429
24,1874612.5281187291,1.5126
25,1869022.2138485368,1.5814
26,1851468.2897199269,1.6463
27,1811001.0606970883,1.7030
28,1810840.2405765990,1.7525
29,1810323.1136985819,1.7992
30,1803419.7243723399,1.8329
31,1801454.1605490036,1.8667
32,1797028.4873372423,1.9119
33,1789744.9373579372,1.9686
34,1778888.9872276783,2.0397
35,1776329.6978351036,2.1008
36,1775875.7276567237,2.1494
37,1775547.9422780205,2.1980
38,1772940.5135887442,2.2447
39,1772129.1693093043,2.2913
40,1771478.8955150158,2.3379
41,1770834.5933783718,2.3847
42,1770507.4631816342,2.4185
43,1768969.0564721359,2.4522
44,1767719.0482299267,2.4859
45,1766538.3834660172,2.5196
46,1764625.3610473750,2.5734
47,1760237.6029952569,2.6071
48,1754092.6001009678,2.6912
49,1752839.9404526060,2.7494
50,1746724.7660573961,2.7831
51,1731141.2580982752,3.1790
