# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7894889.5857997863,0.0394
2,3597172.3976777326,0.0865
3,2649780.6381302718,0.1489
4,2582994.1382175786,0.1826
5,2292222.2438414921,0.2163
6,2056903.6005281298,0.3220
7,2015535.6699718940,0.3746
8,1940107.1583729186,0.4365
9,1921614.1006576391,0.5004
10,1884583.0585197513,0.5470
11,1858325.3999472945,0.6599
12,1845021.1803212406,0.7813
13,1831336.5780920568,0.8357
14,1823914.1757073672,0.9227
15,1807626.5068174789,1.1074
16,1803644.5521092073,1.1718
17,1803544.9845954746,1.2455
18,1796423.3977300324,1.3136
19,1793537.5635850893,1.3843
20,1791186.8117000721,1.4415
21,1790973.9495279116,1.4930
22,1775463.3527435812,1.5396
23,1737306.4386636252,1.5863
