# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776573,0.0119
2,1506203.5600746702,0.0245
3,1127133.1806397117,0.0390
4,820037.3684094277,0.0526
5,497540.1090292026,0.0690
6,373473.4894400913,0.0862
7,312813.0364449170,0.1124
8,285659.1400631655,0.1286
9,271070.7581656087,0.1406
10,265559.8624660396,0.1536
11,262360.0673862839,0.1663
12,258725.3775473680,0.1779
13,257433.2307317847,0.1895
14,255127.6482696230,0.1985
15,253914.7346704891,0.2075
16,253204.7696785986,0.2164
17,252795.9817516345,0.2254
18,252186.4366698067,0.2343
19,251721.1035568438,0.2432
20,251342.4018083161,0.2522
21,251032.7874841493,0.2611
22,250775.3692461505,0.2700
23,250558.2450945478,0.2790
24,250372.8053459039,0.2879
25,250212.6653054444,0.2968
26,250072.9717837741,0.3058
27,249949.9473777137,0.3147
28,249840.7494504474,0.3237
29,249743.1576140366,0.3326
30,249358.6936990801,0.3415
31,249197.5244059147,0.3505
32,249057.5744617018,0.3594
33,248935.1362026107,0.3684
34,248826.8199058345,0.3773
35,248729.9851520356,0.3863
36,248642.5646641151,0.3952
37,248562.9291969376,0.4042
38,248419.7831168813,0.4140
39,248405.4017731823,0.4265
40,248402.0599963631,0.4393
41,248377.6348478209,0.4482
42,248354.7415218608,0.4571
43,248332.4905019474,0.4660
44,248310.8421590658,0.4750
45,248289.7602171819,0.4840
46,248269.2106159859,0.4929
47,248249.1615747697,0.5018
48,248229.5833515147,0.5108
49,248210.4480708069,0.5197
50,248175.1549587266,0.5296
51,248168.7287253234,0.5421
52,248074.5157556719,0.5554
53,247779.5064349519,0.5653
54,247744.9040381931,0.5742
55,247692.4558243087,0.5832
56,247631.7247006481,0.5921
57,247566.3192471592,0.6010
58,247499.1079566297,0.6099
59,247432.0261751358,0.6189
60,247366.2158582645,0.6278
61,247302.2774414763,0.6368
62,247240.4701832523,0.6457
63,247180.8722836199,0.6546
64,247123.4865125919,0.6635
65,247068.2916949198,0.6725
66,246779.7320100828,0.6823
67,246646.7602009149,0.6941
68,246581.6398588520,0.7030
69,246545.8748695813,0.7120
70,246522.3757107822,0.7210
71,246506.1239771481,0.7300
72,246490.1683557425,0.7389
73,246450.6300416109,0.7478
74,246425.1680121876,0.7568
75,246411.0376195148,0.7657
76,246403.3095502254,0.7747
77,246397.1925436593,0.7836
78,246392.6327056444,0.7925
79,246388.9271175278,0.8015
80,246385.8414791859,0.8104
81,246383.1831847155,0.8193
82,246380.8484084180,0.8283
83,246378.7635386730,0.8372
84,246376.8793154309,0.8462
85,246375.1597276981,0.8551
86,246373.5781379912,0.8640
87,246372.1140644222,0.8730
88,246370.7514347627,0.8819
89,246369.4773776457,0.8908
90,246368.2813798691,0.8998
91,246367.1547245844,0.9087
92,246366.0900903747,0.9176
93,246352.8435236595,0.9312
94,246332.1440726936,0.9541
95,246331.5928879785,0.9630
96,246331.1779218260,0.9720
97,246330.8028375580,0.9809
98,246330.4520450459,0.9898
99,246330.1200297961,0.9988
100,246329.8038298366,1.0077
101,246329.5017950404,1.0166
102,246329.2130819690,1.0255
