# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2217754.6356308642,0.0119
2,1480027.1295209257,0.0245
3,1124010.2911014664,0.0409
4,818764.7439525863,0.0544
5,492556.9560303361,0.0735
6,370854.8736115503,0.0907
7,332664.8745907423,0.1072
8,325609.3578021184,0.1234
9,288332.4672881240,0.1350
10,282907.6935992583,0.1469
11,281649.7122822281,0.1586
12,275051.3859208629,0.1675
13,272534.8273869085,0.1764
14,270968.7843137239,0.1853
15,269786.2637038469,0.1942
16,268836.0177515001,0.2032
17,268020.7648999570,0.2121
18,267224.7336705135,0.2210
19,266503.3777252468,0.2300
20,265827.4296980836,0.2389
21,262775.1861713841,0.2488
22,261989.4335013933,0.2632
23,261959.4324634166,0.2752
24,261912.8588736702,0.2885
25,261854.0488071896,0.3015
26,261839.2533353638,0.3135
27,261753.4889814819,0.3252
28,261734.3920598526,0.3367
29,261693.6608253606,0.3536
30,261663.5755895427,0.3678
31,261646.9720837160,0.3767
32,261640.2074961294,0.3857
33,261629.7385191696,0.3946
34,261619.3270922372,0.4036
35,261614.9971644437,0.4125
36,261610.7885067958,0.4214
37,261606.5760312485,0.4303
38,261602.5063434151,0.4393
39,261598.6102469765,0.4482
40,261594.8170582925,0.4571
41,261591.1100007489,0.4661
42,261587.4863291830,0.4750
43,261583.9447435409,0.4840
44,261580.4840481525,0.4929
45,261577.1030745197,0.5018
46,261573.8006755640,0.5107
47,261570.5757255187,0.5197
48,261567.4271197189,0.5286
49,261564.3537724922,0.5376
50,261561.3546183931,0.5465
51,261558.4286101511,0.5555
52,261555.5747189550,0.5644
53,261552.7919343406,0.5733
54,261550.0792622268,0.5822
55,261547.4357264388,0.5911
56,261544.8603667516,0.6001
57,261542.3522391646,0.6090
58,261539.9104152963,0.6180
59,261537.5339818830,0.6269
60,261535.2220404799,0.6358
61,261532.9737075990,0.6448
62,261530.7881136628,0.6537
63,261528.6644021534,0.6626
64,261526.6017302617,0.6716
65,261524.5992683211,0.6805
66,261522.6561995057,0.6895
67,261520.7717189823,0.6984
68,261518.9450340676,0.7073
69,261517.1753638659,0.7162
70,261515.4619385870,0.7252
71,261513.8039998693,0.7341
