# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2104980.2500122949,0.0304
2,1506370.3252980509,0.0781
3,1393631.4253158143,0.1633
4,1263249.4746806771,0.1792
5,1144304.1349605746,0.1969
6,997550.2335733022,0.2170
7,871079.1292493878,0.2377
8,655908.6828061432,0.2588
9,458397.9929707306,0.2807
10,397107.7783723142,0.3025
11,307201.2316809915,0.3180
12,279436.9187212480,0.3333
13,275532.6169901426,0.3458
14,260617.0640824544,0.3584
15,259206.8819294889,0.3709
16,248026.2321822391,0.3835
17,245867.4647083290,0.3986
18,245594.1990544231,0.4110
19,244372.1206836063,0.4237
20,243819.3644714740,0.4719
21,243382.0065496412,0.4972
