# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776582,0.0178
2,1506203.5600746702,0.0356
3,1127133.1806397098,0.0555
4,820037.3684094393,0.0746
5,497540.1090292509,0.0966
6,373473.4894422413,0.1194
7,312813.0364558618,0.1564
8,285659.1111527805,0.1784
9,271070.7293707001,0.1955
10,265559.8472515913,0.2134
11,262360.0505500361,0.2300
12,258725.3583202423,0.2452
13,257432.7295695746,0.2604
14,255127.3138237158,0.2731
15,253916.7873068285,0.2856
16,253204.3613661099,0.2983
17,252796.0717864636,0.3108
18,252186.4465628786,0.3234
19,251721.1150675659,0.3361
20,251342.4154641363,0.3486
21,251032.8038208662,0.3611
22,250775.3884136292,0.3739
23,250558.2674234271,0.3864
24,250372.8310678783,0.3991
25,250212.6949113506,0.4116
26,250073.0049590096,0.4241
27,249949.9845433027,0.4369
28,249840.7896808576,0.4493
29,249743.1999931863,0.4618
30,249358.7346919681,0.4746
31,249197.5642964486,0.4871
32,249057.6123321495,0.4999
33,248935.1714611702,0.5123
34,248826.8521029826,0.5249
35,248730.0140899169,0.5374
36,248642.5899737786,0.5499
37,248562.9508971518,0.5623
38,248419.7958903486,0.5759
39,248405.4188317285,0.5919
40,248402.0588448677,0.6082
41,248377.6336571402,0.6206
42,248354.7391118058,0.6330
43,248332.4864173345,0.6456
44,248310.8358185623,0.6580
45,248289.7508337012,0.6705
46,248269.1970720438,0.6830
47,248249.1420707432,0.6955
48,248229.5547686487,0.7080
49,248210.4045112609,0.7204
50,248175.0847674282,0.7337
51,248168.5185329965,0.7499
52,248111.5262599617,0.7790
53,248040.1514133734,0.7924
54,248023.0052421248,0.8058
55,248013.3934743102,0.8182
56,247951.6414016624,0.8307
57,247862.6515662863,0.8442
58,247853.6230347771,0.8576
59,247800.2665163045,0.8701
60,247778.7023991128,0.8825
61,247682.2960664526,0.8958
62,247678.5539732409,0.9111
63,247674.8004750272,0.9262
64,247671.0020719851,0.9413
65,247667.1511015288,0.9565
66,247663.2433500015,0.9716
67,247659.2740360561,0.9868
68,247655.2384872304,1.0020
69,247651.1315737000,1.0170
70,247646.9485438799,1.0322
71,247642.6848620719,1.0472
72,247638.3357287149,1.0623
73,247633.8966759927,1.0774
74,247629.3637552001,1.0925
75,247624.7332742710,1.1076
76,247620.0014435803,1.1226
77,247615.1650142042,1.1377
78,247610.2215759249,1.1528
79,247605.1679987211,1.1679
80,247600.0023285219,1.1830
81,247594.7222203567,1.1981
82,247589.3268031256,1.2131
83,247583.8146235346,1.2284
84,247578.1849710119,1.2435
85,247572.4370087228,1.2587
86,247566.5704038486,1.2739
87,247560.5850696714,1.2890
88,247554.4821218878,1.3040
89,247548.2615467725,1.3191
90,247541.9246805617,1.3341
91,247535.4728354157,1.3492
92,247528.9078784752,1.3642
93,247522.2323461993,1.3792
94,247515.4479912661,1.3942
95,247508.5576669479,1.4092
96,247433.2843717335,1.4303
97,247274.6391286919,1.4436
98,247184.0937863517,1.4574
99,247017.3450133296,1.4706
100,247015.2928732461,1.4860
101,247013.2430561744,1.5016
102,247011.1603637071,1.5170
103,247009.0288777988,1.5325
104,247006.8324409365,1.5479
105,247004.5488512210,1.5633
106,247002.1724002860,1.5788
107,246999.6908187261,1.5943
108,246997.1005465875,1.6097
109,246994.3997172540,1.6253
110,246991.5819005514,1.6407
111,246988.6419577076,1.6561
112,246985.5830354764,1.6716
113,246982.4068416998,1.6870
114,246979.1096687062,1.7025
115,246975.6985016864,1.7178
116,246972.1712038090,1.7332
117,246968.5338354491,1.7487
118,246964.7902869503,1.7641
119,246960.9430793827,1.7796
120,246956.9975034166,1.7950
121,246952.9549643421,1.8104
122,246948.8236255437,1.8259
123,246944.6093037703,1.8413
124,246940.3152613379,1.8569
125,246935.9465466124,1.8724
126,246931.5080869694,1.8878
127,246927.0069053732,1.9033
128,246922.4464426686,1.9188
129,246917.8306697984,1.9343
130,246913.1675398928,1.9498
131,246908.4637043986,1.9653
132,246903.7235064986,1.9807
133,246898.9490080129,1.9963
134,246894.1497621634,2.0118
135,246889.3262885606,2.0272
136,246802.9866726331,2.0513
137,246674.4604809923,2.0713
138,246569.8665616243,2.0884
139,246487.2135934406,2.1154
140,246439.6360714175,2.1297
141,246438.2235901321,2.1452
142,246436.9310244481,2.1609
143,246435.6721497988,2.1765
144,246434.5023429283,2.1920
145,246433.3754781125,2.2074
146,246432.2496219120,2.2228
147,246431.1587717454,2.2385
148,246430.0428162885,2.2541
149,246408.3679829042,2.2753
150,246362.6362181765,2.3591
151,246362.2956230873,2.3746
152,246361.9716978053,2.3900
153,246361.6614590587,2.4053
154,246361.3612488511,2.4207
155,246361.0683632350,2.4361
156,246360.7821308199,2.4515
157,246360.4999406813,2.4668
158,246360.2204869714,2.4822
159,246355.5184806133,2.5033
160,246342.3506655621,2.5825
161,246338.9135792501,2.5995
162,246335.7072501104,2.6205
163,246322.3425125356,2.6942
164,246321.6662443090,2.7151
165,246318.3208134510,2.7550
166,246317.9143734183,2.7761
167,246316.1998123472,2.8397
168,246315.7949987972,2.8608
169,246315.3635194826,2.9327
170,246315.2108853148,2.9451
171,246315.0055696058,2.9574
172,246314.7623624285,2.9696
173,246314.5017514309,2.9820
