# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357467,0.0000
1,2170136.3176783435,0.0130
2,869806.2790742535,0.0269
3,567418.6040721686,0.0457
4,400594.1646215611,0.0557
5,371447.4905173784,0.0723
6,362562.8273579602,0.0824
7,360836.3576971149,0.1114
8,359913.9847627526,0.1358
9,359383.8515641515,0.1475
10,359238.2820807424,0.1591
11,359181.5445382115,0.1708
12,359164.2999159548,0.1925
13,359002.0074702053,0.2891
14,358973.2245738170,0.2981
15,358961.1961654250,0.3098
16,358959.0445358686,0.3217
17,358952.6627241847,0.3387
18,358950.5111686464,0.3476
19,358949.8966136875,0.3593
20,358949.5523681219,0.3710
21,358949.2571814801,0.3826
22,358948.9711148549,0.3943
23,358948.6995895745,0.4059
24,358948.4336974341,0.4176
25,358948.1732440717,0.4293
26,358947.9447588880,0.4434
27,358947.6260376592,0.4523
28,358947.3104695113,0.4613
29,358946.9898259742,0.4703
30,358946.6760785097,0.4793
31,358946.3626085531,0.4882
32,358946.0494310443,0.4972
33,358945.7376561119,0.5062
