# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,6547059.2859663758,0.1042
2,3700154.8269485100,0.2294
3,2699384.8188928571,0.4015
4,2337828.3914899072,0.4377
5,2215143.6184777999,0.4738
6,2043716.9790094863,0.5560
7,2000502.5788315409,0.6166
8,1954257.2458688791,0.6841
9,1927138.7526543881,0.7549
10,1912474.3488969035,0.8292
11,1911609.9954825356,0.8832
12,1911345.3762149923,0.9391
13,1899741.0841337328,1.0748
14,1898105.3751911330,1.1706
15,1897484.0854248370,1.2266
16,1896952.3889097967,1.2825
17,1896442.1062464372,1.3374
18,1895947.5553092582,1.3923
19,1895463.1950442281,1.4472
20,1894986.2110677799,1.5011
21,1894517.2228544834,1.5551
22,1893920.2292260830,1.6091
23,1893641.6457794385,1.7048
24,1893417.5703667267,1.7607
25,1893185.0204931260,1.8166
26,1892946.2245424963,1.8716
27,1892704.3470644939,1.9265
28,1892439.3215318481,1.9814
29,1892290.1404500713,2.0374
30,1892134.8945894006,2.0933
31,1891987.2577175749,2.1492
32,1891837.8685936215,2.2042
33,1891661.0306859892,2.2591
34,1891561.3394585673,2.3149
35,1891435.8854411726,2.3709
36,1891285.4689009271,2.4268
37,1891139.9567177542,2.4827
38,1890946.3352174712,2.5386
39,1890945.5387990871,2.8490
40,1890943.3949702857,2.9351
41,1890941.6450099440,2.9862
42,1890941.0672174625,3.0401
43,1890939.1639171164,3.1332
44,1890934.8781838985,3.1834
45,1890934.8706763645,3.2374
46,1890934.8682701716,3.2933
47,1890934.8575096189,3.3698
48,1890934.8481710018,3.4059
49,1890934.8350669723,3.4421
50,1890934.8343444394,3.5186
51,1890934.8327613131,3.5547
52,1890934.8326289349,3.6110
53,1890934.8323998342,3.6472
54,1890934.8319573216,3.6833
