# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,6547059.3075566227,0.0470
2,3700154.8289913596,0.0993
3,2699381.9091724651,0.1698
4,2337903.1587973838,0.2062
5,2214767.7896325649,0.2424
6,2043892.4337219179,0.3251
7,2000688.2917290619,0.3859
8,1954434.0960060249,0.4532
9,1927088.0791343537,0.5234
10,1912340.0732737088,0.5975
11,1911611.3042518126,0.6515
12,1911250.0976854400,0.7065
13,1911064.3842241713,0.7674
14,1900504.6157033311,0.8234
15,1899481.6875549953,0.9991
16,1899090.2245683749,1.0551
17,1898805.5649329107,1.1101
18,1898536.3816319180,1.1650
19,1898380.5254950225,1.2218
20,1898228.5740543448,1.2779
21,1898085.5071428199,1.3331
22,1897805.9440379811,1.3882
23,1897716.1836360295,1.4442
24,1897615.8524236216,1.5003
25,1897564.2769982240,1.5564
26,1897433.3516993152,1.6125
27,1897415.6902936543,1.6685
28,1897343.3512466680,1.7246
29,1897327.6884504454,1.7806
30,1897314.0140547422,1.8366
31,1897295.1972649735,1.8927
32,1897257.4629323399,1.9487
33,1897171.1925750750,2.0048
34,1897098.0255169724,2.0609
35,1897040.3824643218,2.1170
36,1896994.6120050075,2.1747
37,1896910.2061267877,2.2298
38,1896791.5896441068,2.2858
39,1848926.0980382250,2.3371
40,1846663.9081300830,2.3896
41,1846127.1917715336,2.4260
42,1845968.5838160932,2.4623
43,1845914.7149354084,2.4986
44,1845885.9695967552,2.5350
45,1845859.3564695953,2.5712
46,1845808.8135812986,2.6075
47,1845721.4340602932,2.6438
48,1845577.7100570155,2.6801
49,1845433.0795585869,2.7164
50,1845287.2794890816,2.7527
51,1845140.6957920198,2.7890
52,1844992.9880110624,2.8253
53,1844844.3532516335,2.8616
54,1844694.4431593406,2.8981
55,1844543.4100767749,2.9367
56,1844391.5533413184,2.9730
57,1844237.9356707775,3.0092
58,1844030.5002936448,3.0453
59,1843813.6181768992,3.0815
60,1843587.2956992111,3.1177
61,1843352.9277717392,3.1538
62,1843109.1627407530,3.1901
63,1842857.0256160989,3.2263
64,1842593.2814166679,3.2625
65,1842318.9412439624,3.2988
66,1842033.7876754426,3.3350
67,1841747.4850574364,3.3712
68,1841431.8118569029,3.4075
69,1841103.1982997127,3.4439
70,1840772.8909444707,3.4800
71,1840444.8648879549,3.5162
72,1839178.0216670004,3.5906
73,1838183.7670498716,3.6269
74,1837241.0061926057,3.6631
75,1836356.0283545479,3.6993
76,1835520.0449623801,3.7355
77,1834721.9713655747,3.7717
78,1833951.0525671546,3.8079
79,1833197.6270542510,3.8442
80,1832453.6386327059,3.8805
81,1831713.1248510259,3.9167
82,1830971.8779026533,3.9529
83,1830226.3654749366,3.9891
84,1829474.5148995810,4.0252
85,1828213.4053736336,4.0644
86,1826508.1778233978,4.1035
87,1823325.6331625006,4.1426
88,1816367.3215068697,4.1990
89,1815436.2087966555,4.2492
90,1814631.4445679858,4.2992
91,1811974.2924796941,4.3685
92,1806333.0155567024,4.4277
93,1800640.6047757403,4.4842
94,1799731.4300207414,4.5204
95,1795553.4920955834,4.5566
96,1789855.8531176038,4.6215
97,1782368.4089030602,4.6894
98,1776218.3248533108,4.7701
99,1772836.3313964535,4.8279
100,1769136.6448653380,4.8642
101,1764708.4166055871,4.9191
102,1762280.8095779659,4.9750
103,1757362.0213959478,5.0242
104,1754804.8470839481,5.0887
105,1747663.5437422025,5.1752
106,1745486.1392979319,5.2426
107,1741644.8091309727,5.3272
