# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322474,0.0430
2,3723398.1420859923,0.0943
3,2649101.3772308459,0.1605
4,2222822.2596012545,0.1973
5,2043410.2459976303,0.2494
6,2002355.2314594400,0.3206
7,1973422.5657663099,0.3852
8,1973023.2671281849,0.4780
9,1972808.6305459600,0.5330
10,1956035.8971098810,0.5880
11,1951671.7880790038,0.6799
12,1949714.2007380493,0.7338
13,1948135.4416263057,0.7878
14,1946735.6850496600,0.8429
15,1945461.5264755418,0.8958
16,1944580.8017264083,0.9489
17,1943332.1007402521,1.0019
18,1943202.6238503153,1.0579
19,1942884.6457428331,1.1537
20,1942618.3278528221,1.2096
21,1942341.3965958648,1.2645
22,1941957.9499503034,1.3195
23,1941859.8672889483,1.4153
24,1941717.3556071878,1.4713
25,1941577.9340197213,1.5272
26,1941407.3415973547,1.5831
27,1941218.8908045003,1.6390
28,1940931.6367173048,1.7110
29,1940342.2451256861,1.7660
30,1939561.8827200932,1.8200
31,1938794.8069162760,1.8740
32,1938048.2794966633,1.9270
33,1937250.4327611765,1.9800
34,1935988.9026717686,2.0350
35,1934850.4179246624,2.0890
36,1932830.3700266685,2.1458
37,1928899.3636959777,2.2017
38,1921826.6386097043,2.2566
39,1913068.5930505083,2.3629
40,1902711.3120907531,2.4256
41,1897084.3190739385,2.4881
42,1883492.1946726313,2.5527
43,1882769.1870980777,2.6211
44,1882507.0546442405,2.6905
45,1882363.9797840277,2.7599
46,1870541.0109115834,2.8263
47,1860686.7714490453,2.8929
48,1859030.8096157112,2.9450
49,1854815.7212496265,2.9981
50,1834803.7491132014,3.0900
51,1802762.7697666166,3.1263
52,1798363.8938050384,3.1854
53,1788844.9797096436,3.2764
54,1780873.7309996139,3.3587
55,1767042.1038494157,3.4409
56,1757787.0629812912,3.5203
57,1750754.0712445830,3.5593
58,1748562.7552635702,3.6200
59,1747425.5485961072,3.6711
60,1746505.3346809971,3.7221
61,1740991.2079789573,3.7925
