# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357318,0.0000
1,2170136.3176783486,0.0123
2,869806.2790742524,0.0249
3,567418.6040721689,0.0417
4,400594.1646215614,0.0508
5,371447.4905174435,0.0659
6,362562.8273454562,0.0751
7,360836.3602094756,0.1034
8,359914.2074019244,0.1280
9,359383.7710595085,0.1398
10,359238.0785525393,0.1516
11,359181.3265885471,0.1635
12,359164.0654038555,0.1753
13,359001.4555598690,0.1844
14,358972.8686145345,0.1936
15,358960.6704360158,0.2054
16,358958.5072511020,0.2174
17,358952.1554936069,0.2347
18,358949.9854990576,0.2438
19,358949.3743073684,0.2556
20,358949.0313618718,0.2675
21,358948.7364339099,0.2793
22,358948.4506922273,0.2911
23,358948.1790095195,0.3029
24,358947.9117046659,0.3147
25,358947.6515047668,0.3265
26,358947.3355570795,0.3357
27,358947.0197315745,0.3449
28,358946.7043598544,0.3540
29,358946.3908109292,0.3631
30,358946.0759031093,0.3723
31,358945.7615217036,0.3814
32,358945.6128396670,0.3905
33,358945.2980699778,0.3997
