# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783491,0.0118
2,869806.2790742535,0.0243
3,567418.6040721691,0.0411
4,400594.1646215613,0.0503
5,371447.4905175933,0.0653
6,362562.8273435151,0.0743
7,360836.3615560782,0.1026
8,359915.1489150082,0.1272
9,359384.2677965211,0.1388
10,359238.4460700035,0.1505
11,359181.6751519277,0.1622
12,359164.4082852833,0.1739
13,358997.5665690070,0.1829
14,358972.2704252281,0.1919
15,358960.3797596497,0.2037
16,358958.2711876570,0.2156
17,358951.9523171525,0.2326
18,358949.8158681811,0.2416
19,358949.2039877554,0.2533
20,358948.8610437393,0.2650
21,358948.5661134481,0.2767
22,358948.2792159657,0.2884
23,358948.0674865085,0.3002
24,358947.7359913928,0.3124
25,358947.5691814530,0.3214
26,358947.2459105875,0.3304
27,358947.1488327277,0.3394
28,358946.6414959561,0.3535
29,358946.5789631117,0.3625
30,358946.4657851750,0.3715
31,358946.2624766997,0.3806
32,358945.9485499882,0.3897
33,358945.6349964796,0.3987
