# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7844410.4048223067,0.0643
2,3704414.4843577272,0.1362
3,2730548.4946497935,0.2168
4,2171200.0148781445,0.2714
5,2027892.3716074112,0.3420
6,1994683.7781091654,0.4202
7,1976172.1106832440,0.4955
8,1975885.5803719023,0.5804
9,1950439.6864708771,0.6643
10,1949590.8608758873,0.7330
11,1939817.8857501594,0.8087
12,1938816.9642835117,0.8784
13,1938366.8079473202,0.9490
14,1937028.7821683621,1.1698
15,1936487.7623305279,1.2395
16,1935809.7283285956,1.3090
17,1935563.2503720555,1.4422
18,1935360.2210739767,1.5167
19,1935150.9595904953,1.5872
20,1934877.8688336385,1.6577
21,1934797.0030496991,1.7323
22,1934648.8065639015,1.8038
23,1933861.7019489077,1.9413
24,1932284.8259489543,2.0128
25,1927154.8028649809,2.0910
26,1917769.5722549714,2.1693
27,1901162.3311051463,2.2495
28,1898543.7879873370,2.3172
29,1897969.7205047135,2.3859
30,1888792.0903917924,2.4546
31,1868483.9026828192,2.5367
32,1860142.5118524591,2.6496
33,1856379.2733312128,2.7665
34,1854295.7279707692,2.8842
35,1853728.3553092442,3.0028
36,1840089.7407563156,3.2791
37,1778261.6737116685,3.3552
38,1767595.2464236401,3.4591
39,1752861.9270100032,3.5860
40,1736233.7300912871,3.7215
