# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322548,0.0430
2,3723398.1420859932,0.0935
3,2649101.3772307681,0.1585
4,2222822.2595923934,0.1966
5,2043410.2482867592,0.2497
6,2002353.5815764337,0.3210
7,1973451.6954942173,0.3856
8,1973137.5656095536,0.4786
9,1972682.2799171121,0.5335
10,1970381.8518807981,0.5895
11,1968474.2589618920,0.6454
12,1967663.1232013768,0.6995
13,1966635.9187852251,0.8001
14,1965900.3426265982,0.8561
15,1965260.5216163907,0.9121
16,1964561.0834092326,0.9670
17,1963891.3707989079,1.0221
18,1963267.6053108433,1.0771
19,1938273.6728233960,1.1311
20,1907459.3905785871,1.1812
21,1906857.7618313131,1.2323
22,1906254.4795903473,1.2835
23,1905643.7747383213,1.3346
24,1905021.1381062181,1.3857
25,1904388.1812786788,1.4367
26,1903746.9683813979,1.4878
27,1903096.8159139554,1.5389
28,1902438.9581747889,1.5899
29,1901773.3491024657,1.6411
30,1901098.9698207243,1.6921
31,1900416.2244693083,1.7431
32,1899729.4934113808,1.7942
33,1899037.6450980224,1.8453
34,1898338.2460636422,1.8965
35,1897637.2522272244,1.9476
36,1896931.7020083067,1.9987
37,1896223.9879951247,2.0498
38,1895511.8864003569,2.1008
39,1894798.4388781530,2.1520
40,1894081.5534780985,2.2021
41,1893294.1329157327,2.2523
42,1892499.5537244745,2.3024
43,1891689.6088226060,2.3524
44,1890868.0036460813,2.4026
45,1890012.1774306512,2.4528
46,1889135.9574175461,2.5029
47,1888242.0736073446,2.5531
48,1887348.3124261934,2.6033
49,1886303.3131853873,2.6535
50,1885187.7596983886,2.7036
51,1884213.7696599718,2.7539
52,1882470.3561557771,2.8201
53,1880978.5288091488,2.8702
54,1879588.0144244528,2.9203
55,1877901.4297322095,2.9704
56,1875804.1620754651,3.0206
57,1874687.8237474964,3.0698
58,1864151.2407133107,3.1061
59,1851711.7434816142,3.1654
60,1835909.4919200717,3.2347
61,1818132.2425215715,3.3544
62,1804020.6873115972,3.4223
63,1798071.9875471811,3.5243
64,1785907.4571826602,3.6312
65,1775177.8951634536,3.7322
66,1770308.2878575863,3.7929
67,1767746.3814636390,3.8350
68,1755225.7570828469,3.8842
69,1749567.4168903348,3.9420
70,1746707.4733746834,4.0188
71,1745650.8456365815,4.0667
72,1741216.8035800029,4.1145
