# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776564,0.0176
2,1505198.6344156275,0.0359
3,1126636.1560702589,0.0561
4,819001.9177542009,0.0745
5,486303.2165919664,0.0956
6,467387.3922710149,0.1186
7,339499.9872645013,0.1356
8,326600.0405083684,0.1578
9,287409.5418918240,0.1725
10,279553.8433381870,0.1872
11,270956.9294630787,0.2102
12,268113.4599830435,0.2346
13,265830.8799303311,0.2568
14,264426.2123113417,0.2753
15,263191.3656174330,0.3064
16,262001.3188985999,0.3204
17,261050.2176302187,0.3345
18,260445.6769525920,0.3501
19,259976.1427929009,0.3658
20,259259.5264081239,0.3806
21,258915.3523086859,0.3963
22,258606.0877277666,0.4119
23,258327.0634693179,0.4274
24,258074.7347788989,0.4430
25,257846.1460159098,0.4586
26,257638.7330170700,0.4743
27,257450.2671730969,0.4899
28,257278.7856123562,0.5055
29,257122.5259692050,0.5211
30,256979.8769579951,0.5368
31,256849.3390823913,0.5525
32,256729.5034641720,0.5681
33,256554.1538010002,0.5828
34,256455.6999655952,0.5985
35,256363.7730647755,0.6142
36,256277.4797912393,0.6298
37,256195.9687601502,0.6455
38,256118.3803580547,0.6611
39,256022.9301882028,0.6758
40,255951.8205933732,0.6914
41,255882.3154412067,0.7071
42,255813.6801062950,0.7227
43,255747.7702726822,0.7374
44,255678.2715536314,0.7530
45,255607.7576470573,0.7687
46,255556.8060532959,0.7833
47,255480.4579357268,0.7990
48,255459.2273673050,0.8166
49,255439.2189832235,0.8455
50,255421.0651641946,0.8603
51,255403.8368059481,0.8750
52,255387.4461660880,0.8897
53,255346.8211854795,0.9052
54,255328.1015817460,0.9210
55,255309.1834637373,0.9365
56,255289.9742148139,0.9522
57,255270.3931292265,0.9679
58,255259.5727837003,0.9826
59,255238.2297253693,0.9982
60,255221.3014353632,1.0129
61,255147.6655757675,1.0285
62,255121.1795869549,1.0470
63,255111.6918132099,1.0657
64,255079.9159644824,1.0807
65,255050.8827525869,1.0957
66,255002.9502859171,1.1113
67,254977.2623797913,1.1269
68,254951.9528035188,1.1426
69,254926.8112240318,1.1581
70,254901.7463992135,1.1738
71,254882.0442249065,1.1884
72,254862.6635533049,1.2032
73,254843.5561250906,1.2180
74,254824.6766509314,1.2326
75,254805.9796245621,1.2473
76,254787.4201524409,1.2620
77,254768.9556891879,1.2767
78,254750.5442698480,1.2914
79,254732.1505311934,1.3061
80,254713.7342774583,1.3208
81,254695.2631802401,1.3356
82,254676.7052432476,1.3503
83,254658.0293887005,1.3650
84,254639.2101753495,1.3797
85,254620.2295911730,1.3945
86,254601.0603046671,1.4092
87,254581.6922990768,1.4239
88,254562.1144664100,1.4386
89,254542.3169821099,1.4534
90,254522.2994032038,1.4680
91,254502.0602247710,1.4827
92,254481.6014021330,1.4974
93,254460.9377119691,1.5120
94,254440.0799796348,1.5268
95,254419.0479875393,1.5415
96,254397.8593680607,1.5562
97,254376.5420156789,1.5727
98,254355.1348063856,1.5874
99,254333.6604946801,1.6022
100,254312.1581429361,1.6169
101,254290.6703390224,1.6315
102,254269.2432316183,1.6463
103,254247.9171125186,1.6610
104,254226.7420064787,1.6757
105,254205.7615064991,1.6905
106,254185.0294245922,1.7052
107,254164.5856537203,1.7199
108,254144.4825545419,1.7346
109,254124.7639802915,1.7493
110,254105.4755218548,1.7640
111,254086.6575298191,1.7787
112,254068.3374444272,1.7934
113,254050.5526738517,1.8081
114,254033.3238652781,1.8227
115,254016.6757240382,1.8375
116,254000.6239479826,1.8522
117,253979.0288993176,1.8688
118,253957.5293132619,1.8853
119,253936.1376713060,1.9018
120,253914.8862099252,1.9184
121,253893.7958177635,1.9350
122,253872.8792447772,1.9516
123,253852.1671373768,1.9681
124,253838.5861421222,1.9828
125,253818.2495971297,1.9993
126,253795.9290428438,2.0159
127,253793.9601680988,2.0353
128,253778.7003951870,2.0499
129,253765.3260471298,2.0646
130,253744.0269913395,2.0812
131,253723.2950394692,2.0978
132,253703.1548997405,2.1144
133,253683.6002624445,2.1309
134,253664.6510383163,2.1474
135,253643.5178156811,2.1639
136,253625.5119483059,2.1963
137,253605.4872752368,2.2129
138,253604.8824954903,2.2299
139,253595.4995222639,2.2447
140,253578.9332015235,2.2614
141,253560.2867406718,2.2778
142,253559.3261334155,2.2971
143,253548.9650853609,2.3117
144,253541.2150652495,2.3264
145,253526.6849572751,2.3429
146,253524.9370261378,2.3621
147,253513.4973434063,2.3768
148,253491.8171451070,2.3923
149,253469.0264711906,2.4079
150,253466.6820811613,2.4265
151,253464.3324105076,2.4550
152,253462.6966275439,2.4698
153,253461.2149806655,2.4845
154,253453.0774438700,2.5001
155,253450.8241139391,2.5185
156,253450.7545064784,2.5358
157,253450.6806117124,2.5531
158,253450.6066653420,2.5704
159,253450.5326580165,2.5878
160,253450.4581729302,2.6052
161,253450.3831351009,2.6212
162,253450.3076155715,2.6380
163,253450.2259336762,2.6754
164,253450.1516492646,2.6893
165,253450.0913586810,2.7034
166,253450.0110620547,2.7174
167,253449.9282276337,2.7315
168,253449.8489298482,2.7455
169,253449.7933171401,2.7802
170,253449.7298101419,2.7961
