# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776568,0.0122
2,1506203.5600746705,0.0249
3,1127133.1806397114,0.0395
4,820037.3684094339,0.0531
5,497540.1090282600,0.0695
6,373473.4894685948,0.0867
7,312813.0368442549,0.1130
8,285659.0637466669,0.1293
9,271070.6877878176,0.1413
10,265559.8171761145,0.1544
11,262360.0460310088,0.1671
12,258725.3738741000,0.1788
13,257432.3402686029,0.1905
14,255125.8859808012,0.1995
15,253914.5585245976,0.2085
16,253204.1722227507,0.2175
17,252796.0003099153,0.2265
18,252186.4659210379,0.2355
19,251721.1346861691,0.2445
20,251342.4355929271,0.2536
21,251032.8246374627,0.2626
22,250775.4104063455,0.2717
23,250558.2908182283,0.2806
24,250372.8557006177,0.2897
25,250212.7209056404,0.2987
26,250073.0325075180,0.3077
27,249950.0137267351,0.3168
28,249840.8198687537,0.3258
29,249743.2309974075,0.3348
30,249358.7648951564,0.3438
31,249197.5934725549,0.3529
32,249057.6401135271,0.3619
33,248935.1973629650,0.3710
34,248826.8758922216,0.3800
35,248730.0355412656,0.3890
36,248642.6090896952,0.3980
37,248562.9674342567,0.4071
38,248419.7997505894,0.4170
39,248405.4235593987,0.4297
40,248402.0674187398,0.4424
41,248377.6385450560,0.4515
42,248354.7411617122,0.4605
43,248332.4856284324,0.4695
44,248310.8323754458,0.4785
45,248289.7449887153,0.4875
46,248269.1894717881,0.4965
47,248249.1338931220,0.5055
48,248229.5484734579,0.5146
49,248210.4051724535,0.5236
50,248175.0466616253,0.5336
51,248168.6080412924,0.5462
52,248161.8188179238,0.5641
53,248155.1482448291,0.5731
54,248147.0023112151,0.5831
55,248140.7755243802,0.5930
56,248125.1401626951,0.6029
57,248114.9573361520,0.6129
58,248089.0126294612,0.6229
59,248082.8364943259,0.6328
60,248078.1218910194,0.6427
61,248073.6810308582,0.6527
62,248069.4819205119,0.6627
63,248065.5170610862,0.6726
64,248061.7788917208,0.6825
65,248058.2592427063,0.6925
66,248042.0079597533,0.7015
67,248032.1347608852,0.7105
68,248028.6933232030,0.7204
69,248012.3403063366,0.7295
70,248002.6374432374,0.7385
71,247999.2341375613,0.7485
72,247982.7987395681,0.7575
73,247973.2663573359,0.7665
74,247969.8818184833,0.7764
75,247953.3843241907,0.7854
76,247944.0222788575,0.7945
77,247940.6319473013,0.8044
78,247924.0928597322,0.8134
79,247914.9006549644,0.8225
80,247911.4775294873,0.8324
81,247909.0942750525,0.8414
82,247892.0378803428,0.8504
83,247882.8376467934,0.8594
84,247880.7981738468,0.8685
85,247863.9063392134,0.8775
86,247854.9444660986,0.8865
87,247851.0249784197,0.8964
88,247849.3068677654,0.9054
89,247831.9314833339,0.9144
90,247822.9451741211,0.9235
91,247821.5062730504,0.9325
92,247804.3451876432,0.9415
93,247795.5918943810,0.9505
94,247790.9008871907,0.9604
95,247789.7145384171,0.9694
96,247772.1150581931,0.9785
97,247763.3303088255,0.9875
98,247758.1362839144,0.9975
99,247740.7419924563,1.0118
100,247732.1715335777,1.0208
101,247726.6233096198,1.0308
102,247709.4477086660,1.0451
103,247701.0906646192,1.0541
104,247695.1307160087,1.0640
105,247678.1933221050,1.0784
106,247670.0481859423,1.0874
107,247663.6178057475,1.0974
108,247646.9378058697,1.1118
109,247639.0034707035,1.1208
110,247632.0429675267,1.1307
111,247615.6394283389,1.1451
112,247607.9152112028,1.1541
113,247600.3672607849,1.1640
114,247598.2923798548,1.1757
115,247597.8383070448,1.1883
116,247595.6356146430,1.1973
117,247593.6429830980,1.2072
118,247592.7732690375,1.2163
119,247591.9047172562,1.2253
120,247591.0371695128,1.2343
121,247590.1701036654,1.2433
122,247589.3031150509,1.2523
123,247588.4357791606,1.2613
124,247587.5676795598,1.2703
125,247586.6983983573,1.2794
126,247585.8275165492,1.2884
127,247584.9546179642,1.2974
128,247584.0792854234,1.3064
129,247583.2011029769,1.3154
