# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783500,0.0121
2,869806.2790742535,0.0247
3,567418.6040721685,0.0415
4,400594.1646215614,0.0506
5,371447.4905174305,0.0657
6,362562.8273452219,0.0748
7,360836.3599079751,0.1032
8,359913.7760139374,0.1279
9,359383.4748372734,0.1397
10,359237.7611785448,0.1515
11,359181.0112077879,0.1633
12,359163.7475852359,0.1751
13,358996.1201340333,0.1841
14,358972.3607424449,0.1933
15,358939.7404893098,0.2024
16,358939.2071910310,0.2144
17,358938.8398422101,0.2264
18,358938.5026015433,0.2384
19,358938.1897149381,0.2505
20,358937.8876667058,0.2626
21,358937.5907990281,0.2746
22,358937.3029638201,0.2866
23,358937.0186227845,0.2986
24,358936.7331525701,0.3130
25,358936.4605479038,0.3220
26,358936.1919700598,0.3311
27,358935.9265646784,0.3403
28,358935.6656204920,0.3494
29,358935.4103942825,0.3584
30,358935.1684343214,0.3675
31,358935.1438308606,0.3818
