# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783491,0.0119
2,869806.2790742535,0.0244
3,567418.6040721693,0.0411
4,400594.1646215612,0.0501
5,371447.4905173058,0.0651
6,362562.8273450112,0.0741
7,360836.3599493620,0.1023
8,359914.3804533990,0.1268
9,359384.0565865307,0.1385
10,359238.4198250679,0.1502
11,359181.6719752009,0.1619
12,359164.4140411020,0.1736
13,358998.1810628346,0.1826
14,358972.9313579954,0.1916
15,358960.9881630458,0.2033
16,358958.8647433768,0.2153
17,358952.6390806360,0.2323
18,358950.4221226487,0.2413
19,358949.8003002402,0.2530
20,358949.4546255923,0.2648
21,358949.1594860980,0.2765
22,358948.8725200356,0.2882
23,358948.5937214468,0.3000
24,358948.3281051161,0.3116
25,358948.0678433935,0.3233
26,358947.7494073494,0.3375
27,358947.4331343569,0.3465
28,358947.1235843407,0.3555
29,358946.8093855807,0.3645
30,358946.4997051586,0.3735
31,358946.1828468961,0.3825
32,358945.8718115488,0.3915
33,358945.5586666411,0.4005
